symbol,company,isin,listing_case,expected_exchange_scope,expected_market_cap_action,required_statement_scope_test,required_special_dataset,identity_source,fixture_version
SJS,S.J.S. Enterprises Limited,INE284S01014,index_omission,NSE+BSE,evaluate_dated_official,consolidated_or_standalone,short_listed_history_and_industrial_evidence,combined_nse_bse_mii,1.1.0
KIRLPNU,Kirloskar Pneumatic Company Limited,INE811A01020,no_archetype_quota,NSE+BSE,evaluate_dated_official,consolidated_or_standalone,industrial_order_book_and_cash_conversion,combined_nse_bse_mii,1.1.0
HAWKINCOOK,Hawkins Cookers Limited,INE979B01015,bse_only_and_scope_failure,BSE,evaluate_dated_official,standalone_when_consolidated_unusable,bse_identity_and_market_data,combined_nse_bse_mii,1.1.0
STLTECH,Sterlite Technologies Limited,INE089C01029,series_and_action_continuity,NSE+BSE,evaluate_dated_official,consolidated_or_standalone,identifier_history_and_actions,combined_nse_bse_mii,1.1.0
ETERNAL,Eternal Limited,INE758T01015,renamed_company,NSE+BSE,evaluate_dated_official,consolidated_or_standalone,name_and_symbol_history,combined_nse_bse_mii,1.1.0
RELIANCE,Reliance Industries Limited,INE002A01018,above_ceiling_control,NSE+BSE,evaluate_dated_official,consolidated_preferred,full_market_cap,combined_nse_bse_mii,1.1.0
MCX,Multi Commodity Exchange of India Limited,INE745G01043,market_infrastructure_not_bank,NSE+BSE,evaluate_dated_official,consolidated_or_standalone,market_infrastructure_kpis,combined_nse_bse_mii,1.1.0
CAMS,Computer Age Management Services Limited,INE596I01020,registrar_not_bank,NSE+BSE,evaluate_dated_official,consolidated_or_standalone,registrar_kpis,combined_nse_bse_mii,1.1.0
BANKBARODA,Bank of Baroda,INE028A01039,bank_schema_and_boundary,NSE+BSE,evaluate_dated_official,bank_scope,bank_metrics,combined_nse_bse_mii,1.1.0
DEEPAKNTR,Deepak Nitrite Limited,INE288B01029,capex_operating_leverage,NSE+BSE,evaluate_dated_official,consolidated_or_standalone,capex_and_segment_evidence,combined_nse_bse_mii,1.1.0
WELCORP,Welspun Corp Limited,INE191B01025,cyclical_normalization,NSE+BSE,evaluate_dated_official,consolidated_or_standalone,order_book_capex_and_cycle,combined_nse_bse_mii,1.1.0
PREMIERENE,Premier Energies Limited,INE0BS701011,recent_listing,NSE+BSE,evaluate_dated_official,consolidated_or_standalone,rhp_pre_ipo_history,combined_nse_bse_mii,1.1.0
WAAREEENER,Waaree Energies Limited,INE377N01017,recent_listing_growth,NSE+BSE,evaluate_dated_official,consolidated_or_standalone,rhp_capacity_order_book,combined_nse_bse_mii,1.1.0
ACE,Action Construction Equipment Limited,INE731H01025,standard_industrial_control,NSE+BSE,evaluate_dated_official,consolidated_or_standalone,standard_complete_dataset,combined_nse_bse_mii,1.1.0
E2E,E2E Networks Limited,INE255Z01019,index_omission_and_scope_failure,NSE+BSE,evaluate_dated_official,standalone_when_consolidated_unusable,series_history,combined_nse_bse_mii,1.1.0
HDFCBANK,HDFC Bank Limited,INE040A01034,bank_above_ceiling_control,NSE+BSE,evaluate_dated_official,bank_scope,bank_metrics,combined_nse_bse_mii,1.1.0
DIXON,Dixon Technologies (India) Limited,INE935N01020,manufacturing_control,NSE+BSE,evaluate_dated_official,consolidated_or_standalone,capacity_customer_and_working_capital,combined_nse_bse_mii,1.1.0
