Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,08092025,1354062227,0002847
Trade Date <08-SEP-2025>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,1003ISFL28,N4,111,11,9.91
20,2,1003SCL30A,NV,25,25,100.00
20,3,1015ECL29,NR,737,567,76.93
20,4,1015SCL29,ZL,7,7,100.00
20,5,1015UCL26,N1,201,201,100.00
20,6,1018GS2026,GS,1044,1044,100.00
20,7,1025NFL25,N5,150,150,100.00
20,8,1025SCL34,Z8,10,10,100.00
20,9,1025SCL34A,ZT,111,111,100.00
20,10,1025UCL26A,N1,40,40,100.00
20,11,1030SFIL28,NM,45,35,77.78
20,12,1035UCL26,NA,201,197,98.01
20,13,1039UCL26,NE,130,65,50.00
20,14,1040UCL27B,N1,218,218,100.00
20,15,1050ISFL28,N5,99,99,100.00
20,16,1050NFL26,N7,45,45,100.00
20,17,1050UCL25,N7,821,821,100.00
20,18,1050UCL28,NH,101,101,100.00
20,19,1060ECL29,NS,250,250,100.00
20,20,1065NFL27,NC,35,35,100.00
20,21,1075SCL34C,N1,20,20,100.00
20,22,10IIFL28,N4,99,99,100.00
20,23,10IIFL28A,NE,399,349,87.47
20,24,10IIFL29,N6,211,209,99.05
20,25,10IIFLSF27,NB,100,50,50.00
20,26,10ISFL26,N3,10,10,100.00
20,27,10NIDO26,N6,10,10,100.00
20,28,10SCL30A,BV,50,50,100.00
20,29,10UCL26,ND,66,50,75.76
20,30,1119NFL27,ND,399,237,59.40
20,31,1180VCCL26,N0,2,2,100.00
20,32,12VCCL29B,N0,2,2,100.00
20,33,12VCCL29C,N0,5,4,80.00
20,34,182D010126,TB,100,100,100.00
20,35,182D131125,TB,200,200,100.00
20,36,182D250925,TB,500,500,100.00
20,37,20MICRONS,EQ,112074,65550,58.49
20,38,21STCENMGM,EQ,813,763,93.85
20,39,360ONE,EQ,643249,404279,62.85
20,40,3IINFOLTD,EQ,204562,144139,70.46
20,41,3MINDIA,EQ,9815,7853,80.01
20,42,3PLAND,EQ,9905,7637,77.10
20,43,563GS2026,GS,5,3,60.00
20,44,577GS2030,GS,188,188,100.00
20,45,5PAISA,EQ,26470,12443,47.01
20,46,601GS2028,GS,2,0,0.00
20,47,619GS2034,GS,243,243,100.00
20,48,628GS2032,GS,200,200,100.00
20,49,63MOONS,EQ,70463,41218,58.50
20,50,668GS2040,GS,390,390,100.00
20,51,676GS2061,GS,1,1,100.00
20,52,679GS2031,GS,48,48,100.00
20,53,68GS2060,GS,299,299,100.00
20,54,690GS2065,GS,999,899,89.99
20,55,699GS2026,GS,17899,17898,99.99
20,56,699GS2051,GS,2,2,100.00
20,57,704GS2029,GS,192,192,100.00
20,58,709GS2054,GS,1257,1257,100.00
20,59,709GS2074,GS,31835,31821,99.96
20,60,710GS2029,GS,426,326,76.53
20,61,716GS2050,GS,2,2,100.00
20,62,717GS2030,GS,1001,500,49.95
20,63,718GS2037,GS,51130,51130,100.00
20,64,724GS2055,GS,2713,2703,99.63
20,65,725GS2063,GS,25993,25798,99.25
20,66,726GS2032,GS,2300,2300,100.00
20,67,726GS2033,GS,500,500,100.00
20,68,727GS2026,GS,1,1,100.00
20,69,729NHAI26,NC,410,410,100.00
20,70,732GS2030,GS,600,600,100.00
20,71,734GS2064,GS,62044,48721,78.53
20,72,734IRFC28,N4,2,1,50.00
20,73,736GS2052,GS,4081,3700,90.66
20,74,737GS2028,GS,23999,23999,100.00
20,75,738GS2027,GS,28656,28656,100.00
20,76,738REC27TF,N2,71,71,100.00
20,77,739NHAI26,N8,153,152,99.35
20,78,739NHAI31A,ND,1000,1000,100.00
20,79,73GS2053,GS,8002,8002,100.00
20,80,741GS2036,GS,16371,16371,100.00
20,81,746GS2073,GS,22962,22902,99.74
20,82,74GS2035,GS,576,576,100.00
20,83,74GS2062,GS,76784,76784,100.00
20,84,750IRFC35,NK,600,550,91.67
20,85,753IRFC30,NJ,1,1,100.00
20,86,754GS2036,GS,653488,646969,99.00
20,87,754RJ33,SG,100,100,100.00
20,88,757GS2033,GS,2000,2000,100.00
20,89,75GS2034,GS,130,130,100.00
20,90,762NTPC35F,ND,401,400,99.75
20,91,764HUDCO31,N8,100,100,100.00
20,92,764NABAR31,N2,621,612,98.55
20,93,767HP34,SG,100,100,100.00
20,94,769NHAI31,NE,1,1,100.00
20,95,76NHAI31,NA,226,226,100.00
20,96,77GA33A,SG,100,100,100.00
20,97,78ABCL33,N1,50,50,100.00
20,98,797IGT31,NL,105,105,100.00
20,99,79NHIT35,N1,790,771,97.59
20,100,79NHIT40,N2,250,250,100.00
20,101,79NHIT47,N3,1157,1157,100.00
20,102,813GS2045,GS,17,17,100.00
20,103,81TCHF28,N8,10,10,100.00
20,104,824GS2027,GS,237,225,94.94
20,105,82HUDCO27,N2,1141,1141,100.00
20,106,830NHAI27,N2,1249,1094,87.59
20,107,830PFCL27,N5,484,484,100.00
20,108,840IRFC29,N8,325,325,100.00
20,109,842IIFL26,NL,5,5,100.00
20,110,846REC28,N6,5,5,100.00
20,111,850CIFCL26,NE,9,9,100.00
20,112,850NHAI29,N5,200,200,100.00
20,113,855IREDA29,N2,4,4,100.00
20,114,865IFL28,NZ,1430,1430,100.00
20,115,865IIFL28,NS,93,93,100.00
20,116,865IRFC29,NA,651,651,100.00
20,117,865LTF26,NN,1011,655,64.79
20,118,865SCL27,N4,5,5,100.00
