Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,11032026,1715018693,0003176
Trade Date <11-MAR-2026>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,0MOFSL26,N1,7,7,100.00
20,2,1003IIFL29,NC,106,102,96.23
20,3,1003ISFL28,N4,1534,1534,100.00
20,4,1003SCL30A,NV,1,1,100.00
20,5,1015ECL29,NR,262,262,100.00
20,6,1015SCFL29,YY,20,20,100.00
20,7,1015UCL26,N1,101,101,100.00
20,8,1018GS2026,GS,753,753,100.00
20,9,1025SCL34A,ZT,18,18,100.00
20,10,1025VCCL28,N0,1,1,100.00
20,11,1050IIFL29,ND,50,50,100.00
20,12,1050ISFL28,N5,123,123,100.00
20,13,1050NFL26,N7,81,81,100.00
20,14,1050UCL28,NH,1,1,100.00
20,15,105IIFL29,N7,105,105,100.00
20,16,1060ECL29,NS,295,260,88.14
20,17,1075SCL35,N1,10,10,100.00
20,18,10IIFL28,N4,150,150,100.00
20,19,10IIFL28A,NE,3065,3065,100.00
20,20,10IIFL29,N6,157,157,100.00
20,21,10NIDO26,N6,688,688,100.00
20,22,1119NFL27,ND,11,11,100.00
20,23,115VCCL28A,N0,5,5,100.00
20,24,1225IFL27,N0,22,22,100.00
20,25,1225IFL28,N0,10,10,100.00
20,26,12AFIL27,N0,1,1,100.00
20,27,12AFIL28,N0,11,11,100.00
20,28,12VCCL27A,N0,1,1,100.00
20,29,182D170726,TB,300,300,100.00
20,30,182D210526,TB,1100,1100,100.00
20,31,182D300726,TB,1000,1000,100.00
20,32,20MICRONS,EQ,82201,35564,43.26
20,33,21STCENMGM,EQ,1664,1639,98.50
20,34,360ONE,EQ,745098,443417,59.51
20,35,364D021026,TB,1000,1000,100.00
20,36,364D100926,TB,200,100,50.00
20,37,364D110626,TB,100,100,100.00
20,38,364D151026,TB,700,700,100.00
20,39,364D171226,TB,1300,1300,100.00
20,40,364D190227,TB,1300,1300,100.00
20,41,364D251226,TB,800,800,100.00
20,42,364D261126,TB,1200,1200,100.00
20,43,3IINFOLTD,EQ,497434,326697,65.68
20,44,3MINDIA,EQ,1880,585,31.12
20,45,3PLAND,EQ,9478,9354,98.69
20,46,563GS2026,GS,2,2,100.00
20,47,574GS2026,GS,80,80,100.00
20,48,579GS2030,GS,1012,506,50.00
20,49,5PAISA,EQ,56788,20323,35.79
20,50,601GS2030,GS,511,500,97.85
20,51,603GS2029,GS,100,100,100.00
20,52,619GS2034,GS,1351,1351,100.00
20,53,63MOONS,EQ,131782,69702,52.89
20,54,648GS2035,GS,1101,1100,99.91
20,55,654GS2032,GS,8000,8000,100.00
20,56,667GS2035,GS,3700,3700,100.00
20,57,667GS2050,GS,76,66,86.84
20,58,668GS2033,GS,1,1,100.00
20,59,668GS2040,GS,1529,1529,100.00
20,60,68GS2060,GS,511,506,99.02
20,61,690GS2065,GS,2568,2568,100.00
20,62,692GS2039,GS,650,650,100.00
20,63,695GS2061,GS,40,40,100.00
20,64,699GS2026,GS,1900,1900,100.00
20,65,699GS2051,GS,10100,10100,100.00
20,66,702GS2027,GS,4,2,50.00
20,67,709GS2054,GS,4590,4588,99.96
20,68,709GS2074,GS,19135,17235,90.07
20,69,710GS2029,GS,3500,3500,100.00
20,70,716GS2050,GS,100,100,100.00
20,71,717GS2030,GS,1300,1300,100.00
20,72,718GS2033,GS,6900,6900,100.00
20,73,718GS2037,GS,95,95,100.00
20,74,719GS2060,GS,1815,1815,100.00
20,75,719HUDCO28,N7,200,200,100.00
20,76,71GS2034,GS,100,100,100.00
20,77,724GS2055,GS,16792,16032,95.47
20,78,725GS2063,GS,24509,24482,99.89
20,79,726GS2032,GS,31800,31800,100.00
20,80,726GS2033,GS,3025,3025,100.00
20,81,728NTPC30B,N9,1,1,100.00
20,82,730PFCL41,NC,36,36,100.00
20,83,734GS2064,GS,56031,53631,95.72
20,84,734IRFC28,N4,300,300,100.00
20,85,737NTPC35C,NA,56,56,100.00
20,86,738GS2027,GS,53082,47081,88.69
20,87,738REC27TF,N2,200,200,100.00
20,88,739NHAI31A,ND,10050,5000,49.75
20,89,73GS2053,GS,6850,5100,74.45
20,90,741GS2036,GS,25,25,100.00
20,91,743GS2076,GS,203,103,50.74
20,92,743REC35,NH,214,214,100.00
20,93,746GS2073,GS,6038,6038,100.00
20,94,74GS2035,GS,1000,1000,100.00
20,95,74GS2062,GS,22549,22548,100.00
20,96,751HUDCO28,N5,15,15,100.00
20,97,753IRFC30,NJ,42,42,100.00
20,98,754GS2036,GS,255009,237555,93.16
20,99,757GS2033,GS,502,502,100.00
20,100,762GJ28,SG,1300,1300,100.00
20,101,762NTPC35F,ND,119,119,100.00
20,102,764HUDCO31,N8,319,279,87.46
20,103,764IRFC31,NO,104,104,100.00
20,104,764NABAR31,N2,1080,1080,100.00
20,105,769HUDCO31,N9,855,795,92.98
20,106,769NHAI31,NE,1135,1135,100.00
20,107,76HR39,SG,300,300,100.00
20,108,76NHAI31,NA,5434,4013,73.85
20,109,772GS2049,GS,200,200,100.00
20,110,774IREDA31,N7,155,155,100.00
20,111,78ABCL33,N1,21,21,100.00
20,112,79NHIT35,N1,5,5,100.00
20,113,79NHIT40,N2,465,465,100.00
20,114,79NHIT47,N3,61,61,100.00
20,115,7PFCL31,N3,20,20,100.00
20,116,805NMC29,N1,1000,1000,100.00
20,117,805NMC30,N2,156,146,93.59
20,118,805NMC31,N3,169,169,100.00
20,119,805NMC32,N4,110,110,100.00
20,120,805NMC33,N5,20,20,100.00
20,121,805NMC35,N7,44,44,100.00
20,122,805NMC36,N8,37,37,100.00
20,123,810IRFC27,N2,491,491,100.00
20,124,812REC27,NI,3585,3585,100.00
20,125,81TCHF28,N8,176,140,79.55
20,126,824GS2027,GS,10,10,100.00
20,127,826GS2027,GS,20,10,50.00
20,128,82HUDCO27,N2,732,730,99.73
20,129,82IGT31,NJ,58,58,100.00
20,130,830CIFC26,N2,1610,1610,100.00
20,131,830NHAI27,N2,31,31,100.00
20,132,830PFCL27,N5,3,2,66.67
20,133,837IIFL28,Y4,27,22,81.48
20,134,842IIFL26,NL,203,203,100.00
20,135,843IHFL29,NC,512,374,73.05
20,136,848AEL29,NJ,1,1,100.00
20,137,850NHAI29,N5,350,350,100.00
20,138,860AEL28,NH,92,92,100.00
20,139,862AEL31,NM,22,12,54.55
20,140,863IRFC29,NC,30,30,100.00
20,141,863NHB34,N3,40,40,100.00
20,142,865IFL28,NZ,5,5,100.00
20,143,865IIFL28,NS,495,495,100.00
20,144,865IIFL31,Y6,807,807,100.00
20,145,865IRFC29,NA,1885,1885,100.00
