Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,11042025,1381978281,0002758
Trade Date <11-APR-2025>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,0SCL26,YR,4,4,100.00
20,2,0SCL27,YW,1,1,100.00
20,3,1003IIFL29,NC,119,119,100.00
20,4,1003ISFL28,N4,20,20,100.00
20,5,1003SFIL28,NX,93,73,78.49
20,6,1015ECL29,NR,151,138,91.39
20,7,1018GS2026,GS,1149,1149,100.00
20,8,1025SCL34Z,N1,2,2,100.00
20,9,1025SCL35A,N1,13,13,100.00
20,10,1025UCL26A,N1,106,106,100.00
20,11,1030SFIL26,NJ,36,36,100.00
20,12,1030SFIL28,NM,140,140,100.00
20,13,1035UCL26,NA,67,66,98.51
20,14,1040NFL26,NA,2,2,100.00
20,15,1049DLS25A,Y5,15,15,100.00
20,16,1050NFL26,N7,257,257,100.00
20,17,1050UCL25,N7,1,1,100.00
20,18,1065NFL27,NC,329,314,95.44
20,19,10CAGL27,N5,48,48,100.00
20,20,10IIFL28A,NE,32,32,100.00
20,21,10IIFL29,N6,4,4,100.00
20,22,10NFL25,N9,20,20,100.00
20,23,12VCCL27,N0,2,2,100.00
20,24,12VCCL29,N0,5,5,100.00
20,25,182D040925,TB,800,800,100.00
20,26,182D140825,TB,5100,5100,100.00
20,27,182D180925,TB,100,100,100.00
20,28,182D240725,TB,100,100,100.00
20,29,20MICRONS,EQ,43483,19516,44.88
20,30,21STCENMGM,EQ,3021,2319,76.76
20,31,360ONE,EQ,1958890,1164710,59.46
20,32,364D031025,TB,50000,50000,100.00
20,33,364D050326,TB,1000,1000,100.00
20,34,364D050625,TB,2500,2500,100.00
20,35,364D070825,TB,100,100,100.00
20,36,364D110925,TB,1000,1000,100.00
20,37,364D111225,TB,600,500,83.33
20,38,364D120326,TB,2100,2100,100.00
20,39,364D161025,TB,1000,1000,100.00
20,40,364D180425,TB,136300,136300,100.00
20,41,3IINFOLTD,EQ,629134,362321,57.59
20,42,3MINDIA,EQ,4190,1940,46.30
20,43,3PLAND,EQ,4762,3188,66.95
20,44,515GS2025,GS,39,30,76.92
20,45,522GS2025,GS,500,500,100.00
20,46,563GS2026,GS,27420,27418,99.99
20,47,574GS2026,GS,17,17,100.00
20,48,579GS2030,GS,23,23,100.00
20,49,585GS2030,GS,3445,3445,100.00
20,50,5PAISA,EQ,42237,10685,25.30
20,51,63MOONS,EQ,188974,89858,47.55
20,52,654GS2032,GS,14101,14100,99.99
20,53,664GS2027,GS,100,100,100.00
20,54,667GS2050,GS,902,594,65.85
20,55,675GS2029,GS,100,100,100.00
20,56,679GS2031,GS,100,100,100.00
20,57,695GS2061,GS,46168,43049,93.24
20,58,697GR2034,GS,100,100,100.00
20,59,699GS2026,GS,1000,1000,100.00
20,60,699GS2051,GS,216,108,50.00
20,61,704GS2029,GS,200,200,100.00
20,62,706GS2028,GS,1251,1001,80.02
20,63,709GS2054,GS,16350,16100,98.47
20,64,710GS2029,GS,73360,73358,100.00
20,65,714NHAI26,N7,253,253,100.00
20,66,717GS2030,GS,34937,30240,86.56
20,67,718GS2033,GS,73430,73430,100.00
20,68,718GS2037,GS,18953,18951,99.99
20,69,71GS2034,GS,24500,24500,100.00
20,70,725GS2063,GS,51650,49650,96.13
20,71,726GS2032,GS,11500,11500,100.00
20,72,732GS2030,GS,23071,23071,100.00
20,73,732IRFC25,NI,100,100,100.00
20,74,734GS2064,GS,9290,9290,100.00
20,75,734IRFC28,N4,198,100,50.51
20,76,736GS2052,GS,300,300,100.00
20,77,736NTPC25D,NB,108,108,100.00
20,78,736PFCL28,N2,20,20,100.00
20,79,737GS2028,GS,601,601,100.00
20,80,738GS2027,GS,150403,146603,97.47
20,81,739NHAI26,N8,4195,4195,100.00
20,82,73GS2053,GS,14250,14250,100.00
20,83,741GS2036,GS,202,202,100.00
20,84,746GS2073,GS,1850,1850,100.00
20,85,74GS2062,GS,81,44,54.32
20,86,750IRFC35,NK,105,105,100.00
20,87,751HUDCO28,N5,200,200,100.00
20,88,753IRFC30,NJ,183,183,100.00
20,89,753NTPC30E,NC,31,31,100.00
20,90,754GS2036,GS,774870,752120,97.06
20,91,758GJ32,SG,1000,1000,100.00
20,92,762KL38,SG,100,100,100.00
20,93,762NTPC35F,ND,70,70,100.00
20,94,764HUDCO31,N8,183,183,100.00
20,95,764IRFC31,NO,4,2,50.00
20,96,764NABAR31,N2,814,814,100.00
20,97,769HUDCO31,N9,345,330,95.65
20,98,769NHAI31,NE,1,1,100.00
20,99,76NHAI31,NA,1371,1021,74.47
20,100,774IREDA31,N7,276,276,100.00
20,101,795GS2032,GS,1710,1710,100.00
20,102,79NHIT35,N1,100,100,100.00
20,103,79NHIT40,N2,231,231,100.00
20,104,79NHIT47,N3,142,142,100.00
20,105,810IRFC27,N2,806,701,86.97
20,106,81TCHF28,N8,213,172,80.75
20,107,824GS2027,GS,671,671,100.00
20,108,826GS2027,GS,8250,8250,100.00
20,109,828GS2032,GS,500,500,100.00
20,110,82HUDCO27,N2,304,304,100.00
20,111,82IGT31,NJ,600,600,100.00
20,112,830CIFC26,N2,144,144,100.00
20,113,830NHAI27,N2,1140,936,82.11
20,114,835IFL25,NV,695,695,100.00
20,115,835SCL23B,YM,103,103,100.00
20,116,83GS2040,GS,1000,1000,100.00
20,117,840CIFCL28,N4,1525,1500,98.36
20,118,842IIFL26,NL,1004,1003,99.90
20,119,84TCHF28,NA,509,399,78.39
20,120,862REC33,NA,156,156,100.00
20,121,865IIFL28,NS,59,59,100.00
20,122,865IRFC29,NA,1,1,100.00
20,123,86GS2028,GS,1000,1000,100.00
20,124,871REC28,N9,450,400,88.89
20,125,872MMFSL26,N1,3,3,100.00
20,126,873NTPC28,N5,200,200,100.00
20,127,875IIFL26A,NQ,1200,1200,100.00
20,128,875NHAI29,N6,37,35,94.59
20,129,875PCHFL26,N8,3,3,100.00
20,130,875SCL23A,YI,6,6,100.00
20,131,876HUDCO28,ND,1350,1350,100.00
20,132,879SCL26,NC,75,75,100.00
20,133,87LTF27,NH,118,118,100.00
20,134,885MOFSL26,N0,10,10,100.00
20,135,885SCL26,N9,42,42,100.00
20,136,885TCAPS29,NC,28,28,100.00
20,137,888ERFL28,N5,9,9,100.00
20,138,888IHFL25F,NC,10,10,100.00
20,139,888IRFC29,NE,2054,1119,54.48
20,140,888NHB29,N5,127,115,90.55
20,141,888REC29,NF,750,750,100.00
20,142,888SCL25E,N4,1,1,100.00
20,143,890SFIL23A,NZ,705,678,96.17
20,144,891NTPC33,N6,31,31,100.00
20,145,892NHPC33,N6,887,887,100.00
20,146,892PFCL33,N8,46,44,95.65
20,147,893NHB29,N6,32,32,100.00
20,148,897GS2030,GS,975,325,33.33
20,149,898LTF29,N7,81,69,85.19
20,150,901HUDCO34,NE,264,264,100.00
20,151,901NHB34,N6,714,626,87.68
20,152,903SFL28,YI,500,500,100.00
20,153,905LTF27,NF,45,45,100.00
20,154,910TCAP28,NA,21,21,100.00
20,155,915SCL26,NE,1116,1064,95.34
20,156,91D010525,TB,700,700,100.00
20,157,91D120625,TB,500,500,100.00
20,158,91D190625,TB,3100,2300,74.19
20,159,91D240425,TB,1500,1500,100.00
20,160,91D300525,TB,600,600,100.00
20,161,925AEL26,N1,11,11,100.00
20,162,925IHFL29,N1,35,35,100.00
20,163,925SCL27B,N1,3,2,66.67
20,164,925SCL28C,BS,12,0,0.00
20,165,92GS2030,GS,27789,27279,98.16
20,166,92SFIL28,ND,48,48,100.00
20,167,930SFL28,YP,15,15,100.00
20,168,932AEL27,N3,68,68,100.00
20,169,935LTF29,N5,60,60,100.00
20,170,935TSI31,N0,12,12,100.00
20,171,935TSI32,N0,16,16,100.00
20,172,93MOFSL34,N6,101,100,99.01
20,173,943ECL28,NJ,267,267,100.00
20,174,945IFSL25,N4,37,37,100.00
20,175,948SCL26A,NN,30,30,100.00
20,176,948SCL26D,AI,1,1,100.00
20,177,94SFL28,YL,200,200,100.00
20,178,955SCL27A,ZJ,10,10,100.00
20,179,956AEL29,N6,20,20,100.00
20,180,957IIFLS27,NA,59,59,100.00
20,181,960ISFL25,N1,451,401,88.91
20,182,965IHFL25D,N7,5,5,100.00
20,183,965SCL25C,N0,5,5,100.00
20,184,965SCL25E,BF,10,10,100.00
20,185,965SCL27,N1,7,7,100.00
20,186,96IIFL28,N5,1781,1613,90.57
20,187,96IIFL28A,NF,2348,2292,97.61
20,188,970CAGL28,ND,110,110,100.00
20,189,971SCL28,AN,252,252,100.00
20,190,971SCL29A,ZN,271,271,100.00
20,191,985ECL28,NK,440,410,93.18
20,192,985IIFL22,NC,510,510,100.00
20,193,985SFIL28,NO,15,15,100.00
20,194,990SCL26B,Y7,188,188,100.00
20,195,99AEL29,N7,25,25,100.00
20,196,9MMFSML,N2,174,174,100.00
20,197,9PCHFL31A,NA,10,10,100.00
20,198,9PEL25,N0,1,1,100.00
20,199,9SCL25,YM,26,26,100.00
20,200,9SCL26BA,NA,19,19,100.00
20,201,A2ZINFRA,EQ,329220,196589,59.71
20,202,AAATECH,EQ,63322,37500,59.22
20,203,AADHARHFC,EQ,541790,252829,46.67
20,204,AAKASH,EQ,517308,163908,31.68
20,205,AAREYDRUGS,EQ,65760,32103,48.82
20,206,AARON,EQ,7705,3869,50.21
20,207,AARTIDRUGS,EQ,116429,58291,50.07
20,208,AARTIIND,EQ,2925148,1143775,39.10
20,209,AARTIPHARM,EQ,910552,316228,34.73
20,210,AARTISURF,EQ,5237,2648,50.56
20,211,AARTISURF,P1,5,5,100.00
20,212,AARVI,EQ,5274,3359,63.69
20,213,AATMAJ,SM,2000,2000,100.00
20,214,AAVAS,EQ,568252,198658,34.96
20,215,ABB,EQ,416323,264180,63.46
20,216,ABBOTINDIA,EQ,5580,2768,49.61
20,217,ABCAPITAL,EQ,4469518,2121620,47.47
20,218,ABCOTS,SM,20000,18000,90.00
20,219,ABDL,EQ,258596,140623,54.38
20,220,ABFRL,EQ,1351428,453164,33.53
20,221,ABGSEC,EQ,11811,10580,89.58
20,222,ABHAPOWER,ST,20800,17600,84.62
20,223,ABINFRA,EQ,52985,27386,51.69
20,224,ABMINTLLTD,EQ,50,50,100.00
20,225,ABREL,EQ,149271,61576,41.25
20,226,ABSLAMC,EQ,616815,465670,75.50
20,227,ABSLBANETF,EQ,227894,224600,98.55
20,228,ABSLLIQUID,EQ,2116,1937,91.54
20,229,ABSLNN50ET,EQ,17605,12879,73.16
20,230,ABSLPSE,EQ,281478,109104,38.76
20,231,ABSMARINE,ST,24500,23500,95.92
20,232,ACC,EQ,219191,83608,38.14
20,233,ACCELYA,EQ,11535,5961,51.68
20,234,ACCENTMIC,SM,13000,11500,88.46
20,235,ACCURACY,EQ,76338,46790,61.29
20,236,ACE,EQ,129159,43011,33.30
20,237,ACEINTEG,EQ,11815,6331,53.58
20,238,ACI,EQ,968107,456878,47.19
20,239,ACL,EQ,17497,11883,67.91
20,240,ACLGATI,EQ,177228,79980,45.13
20,241,ACMESOLAR,EQ,339858,128533,37.82
20,242,ACTIVEINFR,ST,7800,7800,100.00
20,243,ADANIENSOL,EQ,1878535,720918,38.38
20,244,ADANIENT,EQ,981463,265616,27.06
20,245,ADANIGREEN,EQ,2380909,503430,21.14
20,246,ADANIPORTS,EQ,3536245,1779798,50.33
20,247,ADANIPOWER,EQ,3196520,1125381,35.21
20,248,ADFFOODS,EQ,60291,24521,40.67
20,249,ADL,EQ,9426,4452,47.23
20,250,ADOR,EQ,6256,3907,62.45
20,251,ADROITINFO,EQ,43137,32294,74.86
20,252,ADSL,EQ,174826,61341,35.09
20,253,ADVANIHOTR,EQ,35006,21578,61.64
20,254,ADVENZYMES,EQ,73853,30709,41.58
20,255,AEGISLOG,EQ,792415,265820,33.55
20,256,AEROFLEX,EQ,941492,380929,40.46
20,257,AERON,SM,10000,10000,100.00
20,258,AESTHETIK,SM,34000,28000,82.35
20,259,AETHER,EQ,91646,37163,40.55
20,260,AFCONS,EQ,444182,197950,44.57
20,261,AFFLE,EQ,631714,168485,26.67
20,262,AFFORDABLE,EQ,29986,22287,74.32
20,263,AFIL,EQ,1172838,454533,38.75
20,264,AGARIND,EQ,11871,4796,40.40
20,265,AGARWALEYE,EQ,287409,126617,44.05
20,266,AGARWALTUF,SM,20400,16800,82.35
20,267,AGI,EQ,116029,48080,41.44
20,268,AGIIL,EQ,64073,38412,59.95
20,269,AGNI,ST,15000,15000,100.00
20,270,AGRITECH,EQ,5729,2752,48.04
20,271,AGROPHOS,EQ,36334,14000,38.53
20,272,AHLADA,EQ,10973,6415,58.46
20,273,AHLEAST,EQ,6446,3914,60.72
20,274,AHLUCONT,EQ,65163,31295,48.03
20,275,AIAENG,EQ,21188,12309,58.09
20,276,AIIL,EQ,40131,13006,32.41
20,277,AILIMITED,SM,1500,1500,100.00
20,278,AIMTRON,SM,73600,49600,67.39
20,279,AIRAN,EQ,67192,35455,52.77
20,280,AIROLAM,EQ,2825,1104,39.08
20,281,AIRTELPP,E1,100786,47589,47.22
20,282,AJANTPHARM,EQ,89159,46741,52.42
20,283,AJAXENGG,EQ,449431,241605,53.76
20,284,AJMERA,EQ,189643,42394,22.35
20,285,AJOONI,EQ,438687,246192,56.12
20,286,AKANKSHA,SM,6000,5000,83.33
