Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,11122025,1427247016,0003064
Trade Date <11-DEC-2025>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,0MOFSL27,N3,70,60,85.71
20,2,0SCL26,YR,10,10,100.00
20,3,1015ECL29,NR,53,51,96.23
20,4,1015UCL27,NF,115,115,100.00
20,5,1018GS2026,GS,5428,5423,99.91
20,6,1025UCL26A,N1,1,1,100.00
20,7,1035UCL26,NA,5,5,100.00
20,8,1039UCL26,NE,310,310,100.00
20,9,1040NFL26,NA,4,4,100.00
20,10,1050ISFL28,N5,120,120,100.00
20,11,1050UCL28,NH,300,275,91.67
20,12,105IIFL29,N7,14,14,100.00
20,13,1060ECL29,NS,454,444,97.80
20,14,1065NFL27,NC,104,104,100.00
20,15,1075SCL33A,N2,15,15,100.00
20,16,1075SCL34,ZR,24,24,100.00
20,17,1075SCL34C,N1,135,100,74.07
20,18,1075WCA28,N0,12,12,100.00
20,19,10CAGL27,N5,58,58,100.00
20,20,10IIFL28,N4,15,15,100.00
20,21,10IIFL28A,NE,852,852,100.00
20,22,10ISFL26,N3,63,63,100.00
20,23,10NIDO26,N6,582,582,100.00
20,24,118VCCL27B,N0,4,4,100.00
20,25,12AFIL27,N0,4,4,100.00
20,26,12AFIL27A,N0,2,2,100.00
20,27,12AFIL28,N0,10,10,100.00
20,28,12VCCL29B,N0,1,1,100.00
20,29,182D040626,TB,100,100,100.00
20,30,182D120226,TB,2000,1000,50.00
20,31,182D300426,TB,800,800,100.00
20,32,20MICRONS,EQ,51965,28125,54.12
20,33,21STCENMGM,EQ,2797,2596,92.81
20,34,360ONE,EQ,471538,148205,31.43
20,35,364D040626,TB,200,100,50.00
20,36,364D050326,TB,200,200,100.00
20,37,364D080126,TB,200,200,100.00
20,38,364D120226,TB,400,400,100.00
20,39,364D261225,TB,100,100,100.00
20,40,364D270226,TB,200,100,50.00
20,41,3IINFOLTD,EQ,255434,133873,52.41
20,42,3MINDIA,EQ,3725,2070,55.57
20,43,3PLAND,EQ,7676,4795,62.47
20,44,591GS2028,GS,200,200,100.00
20,45,5PAISA,EQ,45286,20651,45.60
20,46,601GS2030,GS,200,200,100.00
20,47,628GS2032,GS,100,100,100.00
20,48,633GS2035,GS,200,100,50.00
20,49,63MOONS,EQ,152049,45351,29.83
20,50,648GS2035,GS,600,600,100.00
20,51,654GS2032,GS,7,7,100.00
20,52,667GS2035,GS,10000,10000,100.00
20,53,667GS2050,GS,13816,13491,97.65
20,54,668GS2040,GS,400,400,100.00
20,55,679GS2034,GS,100,100,100.00
20,56,68GS2060,GS,10,10,100.00
20,57,690GS2065,GS,47850,47650,99.58
20,58,695GS2061,GS,100,100,100.00
20,59,698GR2054,GS,3200,3100,96.88
20,60,699GS2026,GS,23020,22970,99.78
20,61,699GS2051,GS,3,3,100.00
20,62,702GS2027,GS,10196,10098,99.04
20,63,704GS2029,GS,25,25,100.00
20,64,706GS2028,GS,4500,4500,100.00
20,65,709GS2054,GS,45868,45868,100.00
20,66,709GS2074,GS,87677,58692,66.94
20,67,710GS2029,GS,7241,7241,100.00
20,68,713MH37,SG,100,100,100.00
20,69,717GS2030,GS,15300,15300,100.00
20,70,718GS2033,GS,1000,1000,100.00
20,71,718GS2037,GS,27610,27610,100.00
20,72,724GS2055,GS,495,494,99.80
20,73,725GS2063,GS,349020,318487,91.25
20,74,726GS2032,GS,16601,14100,84.93
20,75,726GS2033,GS,2000,2000,100.00
20,76,726MH41,SG,100,100,100.00
20,77,729IRFC26,NN,99,59,59.60
20,78,729NHAI26,NC,276,276,100.00
20,79,732GS2030,GS,100,100,100.00
20,80,733GS2026,GS,100,100,100.00
20,81,734GS2064,GS,49990,43828,87.67
20,82,736MH28,SG,100,100,100.00
20,83,737GR2054,GS,1,1,100.00
20,84,737GS2028,GS,1840,1840,100.00
20,85,738GS2027,GS,155357,118439,76.24
20,86,739NHAI26,N8,985,984,99.90
20,87,73GS2053,GS,3364,3363,99.97
20,88,741GS2036,GS,6024,6024,100.00
20,89,741RJ34,SG,100,100,100.00
20,90,743REC35,NH,300,300,100.00
20,91,746GS2073,GS,83370,82448,98.89
20,92,746MH33,SG,100,100,100.00
20,93,74GS2062,GS,5396,5394,99.96
20,94,750IRFC35,NK,300,300,100.00
20,95,751HUDCO28,N5,211,211,100.00
20,96,753IRFC30,NJ,1604,1600,99.75
20,97,753NTPC30E,NC,225,125,55.56
20,98,754GS2036,GS,414724,410604,99.01
20,99,757GS2033,GS,2,2,100.00
20,100,759GS2026,GS,1773,887,50.03
20,101,763GJ34,SG,100,100,100.00
20,102,764HUDCO31,N8,1,1,100.00
20,103,764IRFC31,NO,100,100,100.00
20,104,764NABAR31,N2,2,1,50.00
20,105,769HUDCO31,N9,194,150,77.32
20,106,769NHAI31,NE,1531,1351,88.24
20,107,76NHAI31,NA,681,642,94.27
20,108,772GS2055,GS,1,1,100.00
20,109,774IREDA31,N7,987,987,100.00
20,110,776MP37A,SG,100,100,100.00
20,111,777MN38,SG,100,100,100.00
20,112,795GS2032,GS,2,2,100.00
20,113,797IGT31,NL,20,20,100.00
20,114,79NHIT35,N1,415,284,68.43
20,115,79NHIT40,N2,200,200,100.00
20,116,79NHIT47,N3,572,572,100.00
20,117,805ABCL28,N5,23,12,52.17
20,118,810IRFC27,N2,442,442,100.00
20,119,820IIFL27,N9,1704,1704,100.00
20,120,824GS2027,GS,200,200,100.00
20,121,828GS2027,GS,1,1,100.00
20,122,82HUDCO27,N2,150,150,100.00
20,123,82IGT31,NJ,800,800,100.00
20,124,830NHAI27,N2,825,500,60.61
20,125,830PFCL27,N5,754,754,100.00
20,126,83GS2042,GS,170,85,50.00
20,127,842IIFL26,NL,1656,1171,70.71
20,128,84TCHF28,NA,159,153,96.23
20,129,850CIFCL26,NE,128,128,100.00
20,130,85IFL26,NX,100,100,100.00
20,131,865IIFL28,NS,551,551,100.00
20,132,865IRFC29,NA,558,558,100.00
20,133,865LTF26,NN,292,138,47.26
20,134,865SCL27,N4,89,89,100.00
20,135,865TCAPS27,N8,2,2,100.00
20,136,871REC28,N9,302,252,83.44
20,137,873NTPC28,N5,288,180,62.50
20,138,875IIFL26,NM,400,400,100.00
20,139,875NHAI29,N6,4,3,75.00
20,140,876HUDCO28,ND,56,56,100.00
20,141,880IREDA34,N6,5,5,100.00
20,142,885MOFSL26,N0,100,100,100.00
20,143,885SCL26,N9,100,100,100.00
20,144,888ECL28,N1,342,342,100.00
20,145,888REC29,NF,34,34,100.00
20,146,890SFIL23A,NZ,10,10,100.00
20,147,891IIFCL34,N4,403,403,100.00
20,148,891NTPC33,N6,551,506,91.83
20,149,892NHPC33,N6,944,944,100.00
20,150,892PFCL33,N8,1106,883,79.84
20,151,895AEL27,N9,186,136,73.12
20,152,897GS2030,GS,1502,1502,100.00
20,153,897MOFSL29,N4,117,117,100.00
20,154,898LTF29,N7,20,20,100.00
20,155,8SMC30,N2,1108,1108,100.00
20,156,901HUDCO34,NE,132,131,99.24
20,157,901NHB34,N6,144,125,86.81
