Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,15012025,1232082966,0002624
Trade Date <15-JAN-2025>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,0MOFSL26,N1,200,200,100.00
20,2,0MOFSL27,N3,500,500,100.00
20,3,1003IIFL29,NC,316,316,100.00
20,4,1003ISFL28,N4,120,120,100.00
20,5,1003SFIL28,NX,60,60,100.00
20,6,1015ECL29,NR,1311,1209,92.22
20,7,1018GS2026,GS,2,1,50.00
20,8,1030SFIL28,NM,47,33,70.21
20,9,1040UCL25,N4,60,60,100.00
20,10,1040UCL27B,N1,201,201,100.00
20,11,1050IIFL29,ND,1,1,100.00
20,12,1050ISFL28,N5,1031,1031,100.00
20,13,1050NFL26,N7,75,75,100.00
20,14,1050UCL25,N7,220,120,54.55
20,15,105IIFL29,N7,65,65,100.00
20,16,105UCL2026,NB,201,201,100.00
20,17,1060ECL29,NS,100,100,100.00
20,18,1065NFL27,NC,131,131,100.00
20,19,1075SCL34,ZR,50,50,100.00
20,20,10IIFL28,N4,2,2,100.00
20,21,10IIFL28A,NE,358,358,100.00
20,22,10IIFL29,N6,45,45,100.00
20,23,11DLSL25A,Y3,90,90,100.00
20,24,11UCL26,NC,20,20,100.00
20,25,182D040425,TB,100,100,100.00
20,26,182D190625,TB,100,100,100.00
20,27,182D230125,TB,600,600,100.00
20,28,182D300125,TB,100,100,100.00
20,29,20MICRONS,EQ,93085,56096,60.26
20,30,360ONE,EQ,3496182,989752,28.31
20,31,364D030725,TB,500,300,60.00
20,32,364D050625,TB,2000,2000,100.00
20,33,364D080126,TB,4300,4300,100.00
20,34,364D091025,TB,100,100,100.00
20,35,364D100725,TB,100,100,100.00
20,36,364D130225,TB,100,100,100.00
20,37,3IINFOLTD,EQ,423827,208698,49.24
20,38,3MINDIA,EQ,4643,1714,36.92
20,39,574GS2026,GS,2,2,100.00
20,40,5PAISA,EQ,22639,11133,49.18
20,41,63MOONS,EQ,210190,105582,50.23
20,42,664GS2027,GS,900,900,100.00
20,43,667GS2050,GS,6500,6500,100.00
20,44,676GS2061,GS,100,100,100.00
20,45,679GS2034,GS,200,200,100.00
20,46,695GS2061,GS,2770,2770,100.00
20,47,697GR2034,GS,8,8,100.00
20,48,698GR2054,GS,920,820,89.13
20,49,699GS2026,GS,3196,3196,100.00
20,50,699GS2051,GS,32,31,96.88
20,51,702GS2027,GS,6,6,100.00
20,52,702GS2031,GS,1001,1000,99.90
20,53,704GS2029,GS,34740,19740,56.82
20,54,706GS2028,GS,1727,1727,100.00
20,55,709GS2054,GS,3576,3576,100.00
20,56,709GS2074,GS,261,261,100.00
20,57,710GS2029,GS,16616,16609,99.96
20,58,717GS2030,GS,3000,3000,100.00
20,59,718GS2037,GS,38813,38633,99.54
20,60,71GS2034,GS,28100,28100,100.00
20,61,725GS2063,GS,224634,174332,77.61
20,62,726GS2032,GS,450,450,100.00
20,63,728IRFC30,NG,600,600,100.00
20,64,729NHAI26,NC,1,1,100.00
20,65,732GS2030,GS,1000,1000,100.00
20,66,733GS2026,GS,12000,12000,100.00
20,67,734GS2064,GS,1356,1356,100.00
20,68,734IRFC28,N4,5,5,100.00
20,69,736GS2052,GS,1,1,100.00
20,70,736NTPC25D,NB,63,63,100.00
20,71,737GS2028,GS,1510,1510,100.00
20,72,737NTPC35C,NA,2,2,100.00
20,73,738GS2027,GS,9342,9341,99.99
20,74,738REC27TF,N2,100,100,100.00
20,75,739NHAI26,N8,146,146,100.00
20,76,739NHAI31A,ND,484,262,54.13
20,77,73GS2053,GS,3150,3150,100.00
20,78,740IIFCL33,N1,34,0,0.00
20,79,741GS2036,GS,4002,4002,100.00
20,80,743TN53,SG,500,500,100.00
20,81,743TS33,SG,300,300,100.00
20,82,746GS2073,GS,21,21,100.00
20,83,747PN43,SG,200,200,100.00
20,84,74GS2062,GS,8451,8451,100.00
20,85,751HUDCO28,N5,1,1,100.00
20,86,753IRFC30,NJ,40,40,100.00
20,87,754GS2036,GS,144761,142739,98.60
20,88,75HR30,SG,400,400,100.00
20,89,760PFCL35,N3,238,188,78.99
20,90,762NTPC35F,ND,40,40,100.00
20,91,764HUDCO31,N8,280,200,71.43
20,92,764IRFC31,NO,227,225,99.12
20,93,764NABAR31,N2,690,350,50.72
20,94,769HUDCO31,N9,957,862,90.07
20,95,769NHAI31,NE,314,289,92.04
20,96,76NHAI31,NA,1401,700,49.96
20,97,774IREDA31,N7,301,301,100.00
20,98,79NHIT35,N1,670,669,99.85
20,99,79NHIT40,N2,1,1,100.00
