Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,17022025,1090637723,0002673
Trade Date <17-FEB-2025>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,0MOFSL26,N1,75,75,100.00
20,2,1003IIFL29,NC,110,110,100.00
20,3,1003ISFL28,N4,1275,1275,100.00
20,4,1003SCL30A,NV,8,8,100.00
20,5,1003SFIL28,NX,2,2,100.00
20,6,1015ECL29,NR,740,740,100.00
20,7,1015UCL26,N1,1,1,100.00
20,8,1018GS2026,GS,201,201,100.00
20,9,1025SCL34,Z8,25,25,100.00
20,10,1025SCL34A,ZT,25,25,100.00
20,11,1025SFIL26,NT,8,8,100.00
20,12,1030SFIL28,NM,208,208,100.00
20,13,1040UCL25,N4,5,5,100.00
20,14,1050ISFL28,N5,10,10,100.00
20,15,1050UCL25,N7,254,254,100.00
20,16,105IIFL29,N7,40,40,100.00
20,17,1065NFL27,NC,108,108,100.00
20,18,10CAGL27,N5,175,175,100.00
20,19,10IIFL28,N4,510,510,100.00
20,20,10IIFL28A,NE,904,494,54.65
20,21,10IIFL29,N6,593,493,83.14
20,22,10ISFL26,N3,500,500,100.00
20,23,10NFL25,N9,112,112,100.00
20,24,10NIDO26,N6,37,37,100.00
20,25,182D170725,TB,3000,3000,100.00
20,26,182D240425,TB,200,200,100.00
20,27,182D270225,TB,100,100,100.00
20,28,20MICRONS,EQ,89141,45700,51.27
20,29,360ONE,EQ,630021,314270,49.88
20,30,364D020525,TB,71000,71000,100.00
20,31,364D031025,TB,1300,1300,100.00
20,32,364D041225,TB,100,100,100.00
20,33,364D061125,TB,1600,1600,100.00
20,34,364D131125,TB,100,100,100.00
20,35,364D150126,TB,100,100,100.00
20,36,364D181225,TB,100,100,100.00
20,37,364D231025,TB,100,100,100.00
20,38,364D260625,TB,100,100,100.00
20,39,364D270225,TB,200,200,100.00
20,40,3IINFOLTD,EQ,854709,390147,45.65
20,41,3MINDIA,EQ,9473,3406,35.95
20,42,563GS2026,GS,2,1,50.00
20,43,574GS2026,GS,3,3,100.00
20,44,5PAISA,EQ,28828,15528,53.86
20,45,610GS2031,GS,3,2,66.67
20,46,619GS2034,GS,300,300,100.00
20,47,63MOONS,EQ,283787,149100,52.54
20,48,654GS2032,GS,134798,130001,96.44
20,49,664GS2027,GS,2100,2100,100.00
20,50,667GS2050,GS,2400,1200,50.00
20,51,675GS2029,GS,100,100,100.00
20,52,676GS2061,GS,28200,28200,100.00
20,53,679GS2034,GS,6060,6060,100.00
20,54,692GS2039,GS,100,100,100.00
20,55,698GR2054,GS,70,70,100.00
20,56,699GS2026,GS,10001,10001,100.00
20,57,699GS2051,GS,6197,6197,100.00
20,58,702GS2027,GS,11190,11190,100.00
20,59,702GS2031,GS,5900,5900,100.00
20,60,704GS2029,GS,2845,2845,100.00
20,61,706GS2028,GS,1163,1163,100.00
20,62,709GS2054,GS,12781,12781,100.00
20,63,710GS2029,GS,1,1,100.00
20,64,717GS2030,GS,12300,12300,100.00
20,65,718GS2033,GS,10338,10338,100.00
20,66,718GS2037,GS,351,351,100.00
20,67,71GS2034,GS,1100,1100,100.00
20,68,725GS2063,GS,28198,28198,100.00
20,69,726GS2032,GS,2000,2000,100.00
20,70,726GS2033,GS,30317,30167,99.51
20,71,732GS2030,GS,1807,1807,100.00
20,72,732IRFC25,NI,20,20,100.00
20,73,733GS2026,GS,300,300,100.00
20,74,734GS2064,GS,29949,22594,75.44
20,75,736GS2052,GS,2516,2516,100.00
20,76,736NTPC25D,NB,1,1,100.00
20,77,736PFCL28,N2,2150,1200,55.81
20,78,737GS2028,GS,2300,1900,82.61
20,79,738GS2027,GS,180875,143433,79.30
20,80,738REC27TF,N2,1153,914,79.27
20,81,739NHAI26,N8,10,10,100.00
20,82,73GS2053,GS,800,500,62.50
20,83,740IIFCL33,N1,1712,1700,99.30
20,84,741GS2036,GS,1000,1000,100.00
20,85,743REC35,NH,81,80,98.77
20,86,746GS2073,GS,850,850,100.00
20,87,74GS2062,GS,1000,500,50.00
20,88,750IRFC35,NK,55,55,100.00
20,89,751HUDCO28,N5,150,100,66.67
20,90,753IRFC30,NJ,1674,1674,100.00
20,91,754GS2036,GS,210549,199874,94.93
20,92,762NTPC35F,ND,68,48,70.59
20,93,764HUDCO31,N8,224,157,70.09
20,94,764IRFC31,NO,525,525,100.00
20,95,764NABAR31,N2,2,2,100.00
20,96,769HUDCO31,N9,1252,1121,89.54
20,97,769NHAI31,NE,9,9,100.00
20,98,76NHAI31,NA,2842,2742,96.48
20,99,774IREDA31,N7,800,800,100.00
20,100,778AS34,SG,300,300,100.00
20,101,77MH33A,SG,100,100,100.00
20,102,797IGT31,NL,316,316,100.00
20,103,79NHIT35,N1,605,605,100.00
20,104,79NHIT40,N2,140,140,100.00
20,105,79NHIT47,N3,2242,2239,99.87
20,106,805ABFL28,N2,33,33,100.00
20,107,810IRFC27,N2,2931,2826,96.42
20,108,812REC27,NI,1230,1230,100.00
20,109,81ABFL33,N5,823,823,100.00
20,110,81TCHF28,N8,121,121,100.00
20,111,820IIFL27,N9,50,50,100.00
20,112,824GS2027,GS,23959,23958,100.00
20,113,828GS2027,GS,21702,21702,100.00
20,114,82GS2025,GS,10,5,50.00
20,115,82HUDCO27,N2,451,451,100.00
20,116,82IGT31,NJ,1635,1412,86.36
20,117,830NHAI27,N2,6580,5379,81.75
20,118,840CIFCL28,N4,25,25,100.00
20,119,842IIFL26,NL,890,888,99.78
20,120,846REC28,N6,100,100,100.00
20,121,849NTPC25,N7,16622,16622,100.00
20,122,865IFL28,NZ,20,20,100.00
20,123,865IIFL28,NS,1030,1030,100.00
20,124,865IRFC29,NA,530,530,100.00
20,125,865LTF26,NN,78,78,100.00
20,126,865TCAPS27,N8,151,151,100.00
20,127,871REC28,N9,2416,1992,82.45
20,128,872MMFSL26,N1,1,1,100.00
20,129,875IIFL26,NM,1552,1250,80.54
20,130,875PCHFL26,N8,175,175,100.00
20,131,876HUDCO28,ND,200,100,50.00
20,132,879NHPC28,N5,200,200,100.00
20,133,880IREDA29,N5,105,105,100.00
20,134,885IHL26,N1,191,191,100.00
20,135,885MOFSL26,N0,25,25,100.00
20,136,888ERFL28,N5,100,100,100.00
20,137,888IRFC29,NE,1092,1092,100.00
20,138,888REC29,NF,1000,1000,100.00
20,139,891IIFCL34,N4,100,100,100.00
20,140,892PFCL33,N8,5995,3877,64.67
20,141,893NHB29,N6,172,172,100.00
20,142,894SCL27,ZY,6,6,100.00
20,143,898LTF29,N7,195,195,100.00
20,144,901HUDCO34,NE,1000,1000,100.00
20,145,901NHB34,N6,35,35,100.00
20,146,903SFL28,YI,21,21,100.00
20,147,910CAGL25,N7,90,90,100.00
20,148,910TCAP28,NA,206,206,100.00
20,149,915SCL26,NE,658,658,100.00
20,150,91D030425,TB,11000,10500,95.45
20,151,91D130325,TB,1100,1100,100.00
20,152,91D200325,TB,100,100,100.00
20,153,91D210225,TB,200,200,100.00
20,154,91SFL27,ZI,50,50,100.00
20,155,920IIFLS26,N8,20,20,100.00
20,156,920SCL23A,AO,600,300,50.00
20,157,921ISFL25,N0,100,100,100.00
20,158,925ERFL28,N6,10,10,100.00
20,159,925SCL26F,N1,19,10,52.63
20,160,925SCL27,YR,2,2,100.00
20,161,92GS2030,GS,4000,4000,100.00
20,162,935LTF29,N5,33,33,100.00
20,163,935MOFSL29,N5,150,150,100.00
20,164,935PEL33,N3,76,76,100.00
20,165,935TSI34,N0,8,8,100.00
20,166,93MOFSL34,N6,122,112,91.80
20,167,943ECL28,NJ,42,38,90.48
20,168,945IFSL25,N4,19,19,100.00
20,169,94SFL28,YL,1263,1263,100.00
20,170,955SCL27,Z5,12,12,100.00
20,171,956AEL29,N6,776,776,100.00
20,172,957ICCL25,YW,78,78,100.00
20,173,957NIDO26,N5,30,30,100.00
20,174,960CAGL25,N3,75,75,100.00
20,175,965AEL27,N4,145,145,100.00
20,176,965IHFL25D,N7,4,4,100.00
20,177,965SCL25,AG,15,8,53.33
20,178,965SCL25E,BF,50,50,100.00
20,179,96IIFL28,N5,1170,951,81.28
20,180,96IIFL28A,NF,2985,2957,99.06
20,181,970CAGL28,ND,272,272,100.00
20,182,97MOFSL34,N7,21,21,100.00
20,183,990SCL26,N7,7,7,100.00
20,184,9IIFL28,Y0,190,190,100.00
20,185,9MMFSML,N2,10,10,100.00
20,186,9PCHFL31A,NA,95,95,100.00
20,187,9PEL25,N0,20,20,100.00
20,188,9SCL25,YM,70,70,100.00
20,189,9SCL26BA,NA,940,540,57.45
20,190,AAATECH,EQ,9765,5427,55.58
20,191,AADHARHFC,EQ,551303,274277,49.75
20,192,AAKASH,EQ,126379,97958,77.51
20,193,AAREYDRUGS,EQ,34468,26979,78.27
20,194,AARON,EQ,5095,2510,49.26
20,195,AARTIDRUGS,EQ,273057,84587,30.98
20,196,AARTIIND,EQ,1055177,255999,24.26
