Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,19062025,1578432402,0002675
Trade Date <19-JUN-2025>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,1003ISFL28,N4,530,530,100.00
20,2,1003SFIL28,NX,60,50,83.33
20,3,1015ECL29,NR,645,645,100.00
20,4,1015UCL26,N1,24,12,50.00
20,5,1018GS2026,GS,4,2,50.00
20,6,1025NFL25,N5,300,300,100.00
20,7,1025UCL25,N8,10,10,100.00
20,8,1030SFIL28,NM,20,20,100.00
20,9,1035UCL26,NA,41,41,100.00
20,10,1040NFL26,NA,14,14,100.00
20,11,1050ISFL28,N5,96,96,100.00
20,12,1050UCL28,NH,11,11,100.00
20,13,1065NFL27,NC,30,30,100.00
20,14,1075NFL25,N6,17,9,52.94
20,15,1075UCL25,N9,64,64,100.00
20,16,10IIFL28,N4,977,777,79.53
20,17,10IIFL28A,NE,230,230,100.00
20,18,10IIFLSF27,NB,25,25,100.00
20,19,10ISFL26,N3,250,250,100.00
20,20,10NFL25,N9,3,3,100.00
20,21,10NIDO26,N6,74,74,100.00
20,22,12VCCL29B,N0,8,8,100.00
20,23,182D101025,TB,100,100,100.00
20,24,20MICRONS,EQ,92236,45596,49.43
20,25,21STCENMGM,EQ,5847,4494,76.86
20,26,360ONE,EQ,839416,376295,44.83
20,27,364D010126,TB,100,100,100.00
20,28,364D010526,TB,700,300,42.86
20,29,364D260625,TB,100,100,100.00
20,30,3IINFOLTD,EQ,486851,250204,51.39
20,31,3MINDIA,EQ,1639,831,50.70
20,32,3PLAND,EQ,17064,11028,64.63
20,33,563GS2026,GS,7,7,100.00
20,34,574GS2026,GS,500005,500000,100.00
20,35,579GS2030,GS,200,100,50.00
20,36,5PAISA,EQ,31206,16166,51.80
20,37,63MOONS,EQ,362752,187374,51.65
20,38,654GS2032,GS,3250,3250,100.00
20,39,664GS2027,GS,4100,4100,100.00
20,40,664GS2035,GS,2000,1000,50.00
20,41,676GS2061,GS,1500,1500,100.00
20,42,679GS2031,GS,25500,25500,100.00
20,43,679GS2034,GS,100,100,100.00
20,44,690GS2065,GS,13600,13600,100.00
20,45,692GS2039,GS,101,101,100.00
20,46,695GS2061,GS,209,209,100.00
20,47,697GR2034,GS,220,220,100.00
20,48,699GS2026,GS,28203,28103,99.65
20,49,699GS2051,GS,2007,2007,100.00
20,50,702GS2027,GS,100,100,100.00
20,51,702GS2031,GS,656,656,100.00
20,52,704GS2029,GS,255,255,100.00
20,53,706GS2028,GS,6500,6500,100.00
20,54,709GS2054,GS,1000,1000,100.00
20,55,709GS2074,GS,36672,36672,100.00
20,56,710GS2029,GS,1500,1500,100.00
20,57,716GS2050,GS,723,723,100.00
20,58,717GS2030,GS,10857,9857,90.79
20,59,718GS2033,GS,12150,12150,100.00
20,60,718GS2037,GS,7250,7240,99.86
20,61,725GS2063,GS,107173,106119,99.02
20,62,726GS2032,GS,7110,7110,100.00
20,63,729NHAI26,NC,198,198,100.00
20,64,732GS2030,GS,200,200,100.00
20,65,732IRFC25,NI,75,75,100.00
20,66,733GS2026,GS,15501,15501,100.00
20,67,734GS2064,GS,29116,29116,100.00
20,68,735NHAI31,N9,159,159,100.00
20,69,736NTPC25D,NB,51,51,100.00
20,70,737GS2028,GS,500,500,100.00
20,71,738GS2027,GS,184163,179353,97.39
20,72,738REC27TF,N2,360,360,100.00
20,73,739NHAI26,N8,441,441,100.00
20,74,739NHAI31A,ND,2000,2000,100.00
20,75,73GS2053,GS,9179,9067,98.78
20,76,741GS2036,GS,951,951,100.00
20,77,746GS2073,GS,11810,11810,100.00
20,78,74GS2062,GS,64,64,100.00
20,79,750IRFC35,NK,1,1,100.00
20,80,751HUDCO28,N5,40,40,100.00
20,81,753IRFC30,NJ,1229,1229,100.00
20,82,754GS2036,GS,283167,279547,98.72
20,83,758JH31,SG,1100,1100,100.00
20,84,762GA32A,SG,1000,1000,100.00
20,85,764HUDCO31,N8,1,1,100.00
20,86,764IRFC31,NO,4562,4562,100.00
20,87,769NHAI31,NE,3423,3323,97.08
20,88,76IGT26,ND,25,25,100.00
20,89,76NHAI31,NA,2253,2160,95.87
20,90,774IREDA31,N7,40,40,100.00
20,91,797IGT31,NL,500,500,100.00
20,92,79NHIT40,N2,1313,1313,100.00
20,93,79NHIT47,N3,863,862,99.88
20,94,810IRFC27,N2,3051,3051,100.00
20,95,812REC27,NI,1004,904,90.04
20,96,813GS2045,GS,211,211,100.00
20,97,828GS2032,GS,10404,10404,100.00
20,98,82GS2025,GS,8,4,50.00
20,99,82HUDCO27,N2,3450,3450,100.00
