Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,20052025,1818182991,0002755
Trade Date <20-MAY-2025>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,1003IIFL29,NC,63,63,100.00
20,2,1015ECL29,NR,1278,1056,82.63
20,3,1015SCL28B,AZ,244,244,100.00
20,4,1015UCL26,N1,181,181,100.00
20,5,1018GS2026,GS,470,470,100.00
20,6,1025NFL25,N5,1,1,100.00
20,7,1025SCL34,Z8,10,10,100.00
20,8,1025SCL34B,N1,25,25,100.00
20,9,1025UCL25,N8,1,1,100.00
20,10,1025UCL26A,N1,54,54,100.00
20,11,1030SFIL26,NJ,12,6,50.00
20,12,1035UCL26,NA,175,175,100.00
20,13,1040NFL26,NA,1,1,100.00
20,14,1050ISFL28,N5,240,240,100.00
20,15,1050NFL26,N7,210,200,95.24
20,16,1050UCL25,N7,70,70,100.00
20,17,1050UCL28,NH,110,110,100.00
20,18,105IIFL29,N7,337,337,100.00
20,19,1065NFL27,NC,1319,1319,100.00
20,20,1075NFL25,N6,3,3,100.00
20,21,1075SCL33A,N2,143,143,100.00
20,22,1075SCL34,ZR,101,101,100.00
20,23,1075SCL34C,N1,614,614,100.00
20,24,10CAGL27,N5,90,90,100.00
20,25,10IIFL28,N4,81,81,100.00
20,26,10IIFL29,N6,477,477,100.00
20,27,10NFL25,N9,119,118,99.16
20,28,10NIDO26,N6,321,321,100.00
20,29,10UCL26,ND,6,4,66.67
20,30,12VCCL29B,N0,7,7,100.00
20,31,182D050625,TB,1000,1000,100.00
20,32,182D310725,TB,100,100,100.00
20,33,20MICRONS,EQ,207448,103096,49.70
20,34,21STCENMGM,EQ,5772,5697,98.70
20,35,360ONE,EQ,602579,314757,52.23
20,36,364D091025,TB,1700,1700,100.00
20,37,364D111225,TB,1000,1000,100.00
20,38,364D120625,TB,200,100,50.00
20,39,364D211125,TB,15000,15000,100.00
20,40,364D231025,TB,1000,1000,100.00
20,41,3IINFOLTD,EQ,567533,259913,45.80
20,42,3MINDIA,EQ,2537,1280,50.45
20,43,3PLAND,EQ,5650,4293,75.98
20,44,563GS2026,GS,155,150,96.77
20,45,579GS2030,GS,25,25,100.00
20,46,5PAISA,EQ,35415,18044,50.95
20,47,622GS2035,GS,408,408,100.00
