Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,20112025,1620063463,0003033
Trade Date <20-NOV-2025>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,0SCL26,YR,50,50,100.00
20,2,1003ISFL28,N4,50,50,100.00
20,3,1003SCL30A,NV,39,39,100.00
20,4,1015ECL29,NR,7,7,100.00
20,5,1015SCL29B,N1,51,51,100.00
20,6,1018GS2026,GS,2139,2087,97.57
20,7,1025PATE28,N0,1,1,100.00
20,8,1025SCL34,Z8,11,11,100.00
20,9,1025SCL34B,N1,445,445,100.00
20,10,1025VCCL28,N0,1,1,100.00
20,11,1035UCL26,NA,12,12,100.00
20,12,1040NFL26,NA,695,623,89.64
20,13,1040UCL27B,N1,1,1,100.00
20,14,1050IIFL29,ND,100,100,100.00
20,15,1050NFL26,N7,142,142,100.00
20,16,1050UCL28,NH,71,71,100.00
20,17,1060ECL29,NS,1520,1000,65.79
20,18,1065NFL27,NC,207,207,100.00
20,19,10IIFL28A,NE,279,279,100.00
20,20,10NIDO26,N6,272,272,100.00
20,21,10UCL26,ND,10,10,100.00
20,22,1102NFL26,N8,100,100,100.00
20,23,118VCCL27B,N0,3,3,100.00
20,24,12AFIL27,N0,1,1,100.00
20,25,12VCCL27,N0,1,1,100.00
20,26,12VCCL29B,N0,1,1,100.00
20,27,182D010126,TB,100,100,100.00
20,28,182D080126,TB,100,100,100.00
20,29,182D120326,TB,200,100,50.00
20,30,182D140526,TB,200,100,50.00
20,31,182D220126,TB,400,400,100.00
20,32,20MICRONS,EQ,56469,32076,56.80
20,33,21STCENMGM,EQ,6984,6883,98.55
20,34,360ONE,EQ,1134821,323907,28.54
20,35,364D041225,TB,100,100,100.00
20,36,364D100426,TB,200,100,50.00
20,37,364D120226,TB,200,100,50.00
20,38,364D150126,TB,100,100,100.00
20,39,364D170926,TB,100,100,100.00
20,40,364D181225,TB,100,100,100.00
20,41,364D271125,TB,400,400,100.00
20,42,364D290126,TB,200,100,50.00
20,43,3IINFOLTD,EQ,372209,209529,56.29
20,44,3MINDIA,EQ,3044,1369,44.97
20,45,3PLAND,EQ,1061,827,77.95
20,46,585GS2030,GS,1,1,100.00
20,47,5PAISA,EQ,1142261,169807,14.87
20,48,601GS2030,GS,5000000,5000000,100.00
20,49,633GS2035,GS,23286,23286,100.00
20,50,63MOONS,EQ,167446,68976,41.19
20,51,648GS2035,GS,1100,1100,100.00
20,52,667GS2035,GS,21,21,100.00
20,53,667GS2050,GS,900,900,100.00
20,54,668GS2040,GS,1400,1400,100.00
20,55,676GS2061,GS,204,104,50.98
20,56,68GS2060,GS,15,15,100.00
20,57,690GS2065,GS,407595,404470,99.23
20,58,692GS2039,GS,5152,5152,100.00
20,59,695GS2061,GS,6556,6556,100.00
20,60,698GR2054,GS,2272,2272,100.00
20,61,699GS2026,GS,110,105,95.45
20,62,699GS2051,GS,1,1,100.00
20,63,702GS2027,GS,247,246,99.60
20,64,702GS2031,GS,400,400,100.00
20,65,704GS2029,GS,215,215,100.00
20,66,709GS2054,GS,7009,7009,100.00
20,67,709GS2074,GS,80979,78200,96.57
20,68,709KL52,SG,100,100,100.00
20,69,710GS2029,GS,1916,1916,100.00
20,70,717GS2030,GS,141,141,100.00
20,71,718GS2037,GS,50805,50805,100.00
20,72,724GS2055,GS,400,400,100.00
20,73,725GS2063,GS,302562,297461,98.31
20,74,725IRFC35,NH,400,200,50.00
20,75,726GS2032,GS,1801,1801,100.00
20,76,726GS2033,GS,6105,6105,100.00
20,77,729NHAI26,NC,354,354,100.00
20,78,732GS2030,GS,1200,1200,100.00
20,79,732IRFC25,NI,48,48,100.00
20,80,733GS2026,GS,28641,28641,100.00
20,81,734GS2064,GS,285403,283376,99.29
20,82,737GS2028,GS,420,320,76.19
20,83,738GS2027,GS,24257,22623,93.26
20,84,738REC27TF,N2,4,4,100.00
20,85,739NHAI26,N8,1180,1180,100.00
20,86,73GS2053,GS,230,230,100.00
20,87,740IIFCL33,N1,10,10,100.00
20,88,741GS2036,GS,2700,2500,92.59
20,89,743REC35,NH,404,404,100.00
20,90,746GS2073,GS,77512,61551,79.41
20,91,749MN35,SG,100,100,100.00
20,92,74GS2062,GS,1,1,100.00
20,93,750IRFC35,NK,1027,582,56.67
20,94,751HUDCO28,N5,90,90,100.00
20,95,753IRFC30,NJ,63,63,100.00
20,96,754GS2036,GS,1040544,1020444,98.07
20,97,758GJ32,SG,300,200,66.67
20,98,759GS2026,GS,2,2,100.00
20,99,760PFCL35,N3,211,211,100.00
20,100,762NTPC35F,ND,1,1,100.00
20,101,764HUDCO31,N8,1,1,100.00
20,102,764NABAR31,N2,602,501,83.22
20,103,768UP34A,SG,100,100,100.00
20,104,769HUDCO31,N9,30,30,100.00
20,105,769NHAI31,NE,768,768,100.00
20,106,76NHAI31,NA,1236,1186,95.95
20,107,773KA34,SG,100,100,100.00
20,108,777MN38,SG,100,100,100.00
20,109,788MP33,SG,500,500,100.00
20,110,79NHIT35,N1,1467,1385,94.41
20,111,79NHIT40,N2,173,173,100.00
20,112,79NHIT47,N3,423,423,100.00
20,113,810IRFC27,N2,1747,1747,100.00
20,114,812REC27,NI,40729,40729,100.00
20,115,81TCHF28,N8,107,107,100.00
20,116,824GS2027,GS,701,701,100.00
20,117,82HUDCO27,N2,123,123,100.00
20,118,82IGT31,NJ,78,74,94.87
20,119,830NHAI27,N2,838,838,100.00
20,120,830PFCL27,N5,1034,1034,100.00
20,121,83GS2040,GS,103,103,100.00
20,122,840CIFCL28,N4,1050,1000,95.24
20,123,842IIFL26,NL,484,284,58.68
20,124,850NHAI29,N5,50,50,100.00
20,125,855IREDA29,N2,1,1,100.00
20,126,865IIFL28,NS,200,200,100.00
20,127,865IRFC29,NA,180,90,50.00
20,128,865LTF26,NN,1116,641,57.44
20,129,865SCL26,N8,10,10,100.00
20,130,865SCL27,N4,24,17,70.83
20,131,865TCAPS27,N8,1,1,100.00
20,132,871REC28,N9,2467,1808,73.29
20,133,875IIFL26,NM,894,500,55.93
20,134,875IIFL26A,NQ,24,24,100.00
20,135,875NHAI29,N6,489,350,71.57
20,136,875PCHFL26,N8,100,100,100.00
20,137,876HUDCO28,ND,789,789,100.00
20,138,87LTF27,NH,13,13,100.00
20,139,880IREDA34,N6,338,338,100.00
20,140,885AEL28,NB,10,10,100.00
20,141,885SCL26,N9,2001,2001,100.00
20,142,888IRFC29,NE,5,5,100.00
20,143,888NHB29,N5,23,23,100.00
20,144,888REC29,NF,1540,1530,99.35
20,145,888SCL28,NA,20,20,100.00
20,146,889SCL27,YT,80,80,100.00
20,147,891IIFCL34,N4,654,638,97.55
20,148,891NTPC33,N6,593,575,96.96
