Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,22072025,1363211177,0002723
Trade Date <22-JUL-2025>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,0SCL27,YW,35,35,100.00
20,2,1003ISFL28,N4,350,350,100.00
20,3,1015ECL29,NR,683,683,100.00
20,4,1015SCL28A,AL,135,63,46.67
20,5,1015SCL29B,N1,100,100,100.00
20,6,1015SCL29T,N1,36,36,100.00
20,7,1015UCL26,N1,43,41,95.35
20,8,1015UCL27,NF,8,4,50.00
20,9,1018GS2026,GS,6902,6000,86.93
20,10,1025NFL25,N5,146,146,100.00
20,11,1025SCL34B,N1,10,10,100.00
20,12,1025SCL35A,N1,4,4,100.00
20,13,1039UCL26,NE,3,3,100.00
20,14,1050SCL30,NU,10,10,100.00
20,15,1050UCL25,N7,26,26,100.00
20,16,1050UCL28,NH,70,70,100.00
20,17,1065NFL27,NC,10,10,100.00
20,18,1075SCL33,YK,20,10,50.00
20,19,1075SCL35,N1,25,25,100.00
20,20,1075UCL25,N9,19,19,100.00
20,21,10IIFL28,N4,2832,2820,99.58
20,22,10IIFL28A,NE,351,351,100.00
20,23,10ISFL26,N3,26,26,100.00
20,24,10NFL25,N9,205,205,100.00
20,25,10NIDO26,N6,374,374,100.00
20,26,10UCL26,ND,3,3,100.00
20,27,12VCCL27,N0,1,1,100.00
20,28,12VCCL29B,N0,5,4,80.00
20,29,182D010126,TB,200,200,100.00
20,30,182D080126,TB,100,100,100.00
20,31,182D110925,TB,9800,9800,100.00
20,32,182D180925,TB,8000,8000,100.00
20,33,182D251225,TB,100,100,100.00
20,34,20MICRONS,EQ,1055797,292376,27.69
20,35,21STCENMGM,EQ,11456,6126,53.47
20,36,360ONE,EQ,28185822,18066216,64.10
20,37,364D150126,TB,600,600,100.00
20,38,364D260326,TB,2000,1000,50.00
20,39,3IINFOLTD,EQ,260184,117616,45.20
20,40,3MINDIA,EQ,22307,9493,42.56
20,41,3PLAND,EQ,8316,4992,60.03
20,42,574GS2026,GS,2,1,50.00
20,43,5PAISA,EQ,17732,9045,51.01
20,44,613GS2028,GS,3,3,100.00
20,45,622GS2035,GS,49,49,100.00
20,46,633GS2035,GS,100,100,100.00
20,47,63MOONS,EQ,138489,53827,38.87
20,48,654GS2032,GS,13992,13992,100.00
20,49,664GS2027,GS,201,101,50.25
20,50,667GS2035,GS,7000,7000,100.00
20,51,668GS2040,GS,600,600,100.00
20,52,675GS2029,GS,299,200,66.89
