Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,24102025,1534130663,0003014
Trade Date <24-OCT-2025>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,0MOFSL26,N1,109,109,100.00
20,2,0MOFSL27,N3,46,46,100.00
20,3,0SCL26,YR,20,20,100.00
20,4,1003IIFL29,NC,20,20,100.00
20,5,1003ISFL28,N4,325,325,100.00
20,6,1003SCL30A,NV,25,25,100.00
20,7,1015ECL29,NR,108,104,96.30
20,8,1015UCL26,N1,2,2,100.00
20,9,1015UCL27,NF,4,4,100.00
20,10,1018GS2026,GS,18,18,100.00
20,11,1025SCL34Z,N1,20,10,50.00
20,12,1039UCL26,NE,208,205,98.56
20,13,1040UCL27B,N1,1,1,100.00
20,14,1050UCL28,NH,210,210,100.00
20,15,105IIFL29,N7,290,290,100.00
20,16,1065NFL27,NC,296,296,100.00
20,17,1075SCL33A,N2,100,100,100.00
20,18,1075SCL34,ZR,25,25,100.00
20,19,10CAGL27,N5,425,425,100.00
20,20,10IIFL28,N4,75,75,100.00
20,21,10IIFL28A,NE,209,209,100.00
20,22,10IIFL29,N6,100,100,100.00
20,23,10NIDO26,N6,690,689,99.86
20,24,1102NFL26,N8,33,33,100.00
20,25,1119NFL27,ND,1,1,100.00
20,26,113ESFB31,N0,9,9,100.00
20,27,118VCCL27B,N0,25,25,100.00
20,28,11UCL26,NC,310,310,100.00
20,29,182D030426,TB,500,500,100.00
20,30,20MICRONS,EQ,52448,28471,54.28
20,31,21STCENMGM,EQ,3724,2498,67.08
20,32,360ONE,EQ,494044,243178,49.22
20,33,364D140526,TB,100,100,100.00
20,34,364D151026,TB,300,300,100.00
20,35,364D180626,TB,200,100,50.00
20,36,3IINFOLTD,EQ,3339705,868000,25.99
20,37,3MINDIA,EQ,1728,841,48.67
20,38,3PLAND,EQ,8107,5877,72.49
20,39,563GS2026,GS,1250,1250,100.00
20,40,5PAISA,EQ,38527,22221,57.68
20,41,601GS2030,GS,301,301,100.00
20,42,628GS2032,GS,100,100,100.00
20,43,633GS2035,GS,501,501,100.00
20,44,63MOONS,EQ,109342,87545,80.07
20,45,648GS2035,GS,200,200,100.00
20,46,667GS2050,GS,5000,5000,100.00
20,47,668GS2040,GS,300,300,100.00
20,48,676GS2061,GS,1997,1997,100.00
20,49,679GS2031,GS,101,100,99.01
20,50,68GS2060,GS,176,167,94.89
20,51,690GS2065,GS,230620,227137,98.49
20,52,697GR2034,GS,200,200,100.00
20,53,698GR2054,GS,200,200,100.00
20,54,699GS2026,GS,1000,1000,100.00
20,55,699GS2051,GS,270,270,100.00
20,56,702GS2027,GS,3939,3939,100.00
20,57,702GS2031,GS,1023,1023,100.00
20,58,704GS2029,GS,100,100,100.00
20,59,706GS2028,GS,918,918,100.00
20,60,709GS2054,GS,54576,54576,100.00
20,61,709GS2074,GS,3536,3536,100.00
20,62,710GS2029,GS,5325,5325,100.00
20,63,716GS2050,GS,2200,2200,100.00
20,64,718GS2033,GS,3000,3000,100.00
20,65,718GS2037,GS,9302,9201,98.91
20,66,725GS2063,GS,34686,34685,100.00
20,67,726GS2032,GS,10692,10692,100.00
20,68,729NHAI26,NC,210,210,100.00
20,69,732GS2030,GS,400,400,100.00
20,70,732IRFC25,NI,102,102,100.00
20,71,733GS2026,GS,5798,5698,98.28
20,72,734GS2064,GS,2315259,2299259,99.31
20,73,734IRFC28,N4,200,200,100.00
20,74,735NHAI31,N9,45,45,100.00
20,75,736GS2052,GS,4,2,50.00
20,76,737GR2054,GS,100,100,100.00
20,77,737GS2028,GS,55430,55430,100.00
20,78,738GS2027,GS,4113,4113,100.00
20,79,738REC27TF,N2,3776,2176,57.63
20,80,739NHAI26,N8,2,2,100.00
20,81,73GS2053,GS,10700,10700,100.00
20,82,741GS2036,GS,700,400,57.14
20,83,743REC35,NH,23,23,100.00
20,84,746GS2073,GS,10586,10212,96.47
20,85,74GS2035,GS,150,150,100.00
20,86,74GS2062,GS,544,541,99.45
20,87,750IRFC35,NK,427,427,100.00
20,88,753IRFC30,NJ,1115,772,69.24
20,89,754GS2036,GS,192229,184191,95.82
20,90,759GS2026,GS,1000,1000,100.00
20,91,763GS2059,GS,135,135,100.00
20,92,764HUDCO31,N8,290,290,100.00
20,93,764IRFC31,NO,1164,1035,88.92
20,94,764NABAR31,N2,1519,1029,67.74
20,95,769NHAI31,NE,1702,1097,64.45
20,96,76NHAI31,NA,1566,1566,100.00
20,97,772GS2055,GS,440,440,100.00
20,98,774IREDA31,N7,222,222,100.00
20,99,79NHIT35,N1,3189,2985,93.60
20,100,79NHIT40,N2,2191,2191,100.00
20,101,79NHIT47,N3,2972,2920,98.25
20,102,810IRFC27,N2,200,200,100.00
20,103,812REC27,NI,2695,1695,62.89
20,104,815GS2026,GS,99,99,100.00
20,105,81TCHF28,N8,205,205,100.00
20,106,826GS2027,GS,100,100,100.00
20,107,82HUDCO27,N2,1666,1601,96.10
20,108,82IGT31,NJ,25,25,100.00
20,109,830NHAI27,N2,910,909,99.89
20,110,830PFCL27,N5,5,5,100.00
20,111,832GS2032,GS,109,109,100.00
20,112,83GS2042,GS,35,35,100.00
20,113,840CIFCL28,N4,300,150,50.00
20,114,842IIFL26,NL,3062,2791,91.15
20,115,84CIFCL28,NA,100,100,100.00
20,116,84TCHF28,NA,51,51,100.00
20,117,850IIFL27,NA,50,50,100.00
20,118,851HUDCO28,NB,51,51,100.00
20,119,85CIFC27,NL,125,100,80.00
20,120,85IFL26,NX,471,471,100.00
20,121,865IFL28,NZ,70,70,100.00
20,122,865IHFL27,N1,27,27,100.00
20,123,865IIFL28,NS,297,297,100.00
20,124,865IRFC29,NA,145,145,100.00
20,125,865LTF26,NN,4,3,75.00
20,126,865TCAPS27,N8,15,15,100.00
20,127,871REC28,N9,1725,616,35.71
20,128,875IIFL26A,NQ,49,49,100.00
20,129,875NHAI29,N6,1613,1613,100.00
20,130,876HUDCO28,ND,116,116,100.00
20,131,87LTF27,NH,607,599,98.68
20,132,885AEL28,NB,400,309,77.25
20,133,885SCL26,N9,1,1,100.00
20,134,888IRFC29,NE,400,400,100.00
20,135,891IIFCL34,N4,6,6,100.00
20,136,891NTPC33,N6,3,3,100.00
20,137,895AEL27,N9,61,61,100.00
20,138,897MOFSL29,N4,570,570,100.00
20,139,898LTF29,N7,428,426,99.53
20,140,8SMC29,N1,56,56,100.00
20,141,8SMC30,N2,6,6,100.00
20,142,901HUDCO34,NE,5,5,100.00
20,143,901NHB34,N6,193,93,48.19
20,144,910TCAP28,NA,539,385,71.43
20,145,915AEL28,NC,200,200,100.00
20,146,915SCL26,NE,501,500,99.80
20,147,91D041225,TB,4500,4500,100.00
20,148,91D080126,TB,2700,2700,100.00
20,149,91D111225,TB,100,100,100.00
20,150,91D131125,TB,500,500,100.00
20,151,91D150126,TB,100,100,100.00
20,152,91D181225,TB,1000,1000,100.00
20,153,91D201125,TB,900,900,100.00
20,154,91D251225,TB,100,100,100.00
20,155,91D301025,TB,100,100,100.00
20,156,91MOFSL27,N2,55,55,100.00
20,157,925SCFL27,YA,22,22,100.00
20,158,925SCL30A,NH,287,287,100.00
20,159,92GS2030,GS,701,701,100.00
20,160,930AEL30,NF,920,920,100.00
20,161,930APMD28,N0,7,7,100.00
20,162,930APMD31,N0,2,2,100.00
20,163,930APMD32,N0,2,2,100.00
20,164,930APMD33,N0,2,2,100.00
20,165,935IIFL28,NZ,250,250,100.00
20,166,935LTF29,N5,87,79,90.80
20,167,935TSI29,N0,3,3,100.00
20,168,93MOFSL34,N6,65,65,100.00
20,169,943ECL28,NJ,20,20,100.00
20,170,948SCL26A,NN,400,400,100.00
20,171,948SCL27A,ZJ,11,11,100.00
20,172,957ICCL25,YW,5,5,100.00
20,173,957IIFLS27,NA,103,103,100.00
20,174,960CAGL25,N3,15,15,100.00
20,175,965AEL27,N4,2131,2131,100.00
20,176,965SCL25A,NF,10,10,100.00
20,177,965SCL25C,N0,174,174,100.00
20,178,965SCL28,AK,163,163,100.00
20,179,96IIFL28,N5,1922,1822,94.80
20,180,96IIFL28A,NF,532,467,87.78
20,181,96SFIL24A,NB,50,50,100.00
20,182,971SCL28A,NT,2,2,100.00
20,183,97SFL28,YS,150,150,100.00
20,184,985ECL28,NK,370,370,100.00
20,185,985SFIL28,NO,3,3,100.00
20,186,98SCL27,ZX,12,12,100.00
20,187,990SCL27,YT,54,54,100.00
20,188,9IIFL26,NV,10,10,100.00
20,189,9IIFL28A,NT,1,1,100.00
20,190,9MMFSML,N2,25,25,100.00
20,191,9PCHFL31A,NA,3,2,66.67
20,192,9SCL26BA,NA,129,129,100.00
20,193,9SCL27,N2,40,40,100.00
20,194,AADHARHFC,EQ,639986,235693,36.83
20,195,AAKAAR,SM,30400,27200,89.47
20,196,AAKASH,EQ,36702,28602,77.93
20,197,AARADHYA,ST,4800,4800,100.00
20,198,AARON,EQ,7893,5423,68.71
20,199,AARTECH,EQ,347101,143041,41.21
20,200,AARTIDRUGS,EQ,94285,56691,60.13
20,201,AARTIIND,EQ,374700,210037,56.05
20,202,AARTIPHARM,EQ,80920,43426,53.67
20,203,AARTISURF,EQ,3219,2146,66.67
20,204,AARTISURF,P1,1,1,100.00
