Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,28082025,1465449826,0002793
Trade Date <28-AUG-2025>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,1003ISFL28,N4,355,305,85.92
20,2,1015ECL29,NR,1,1,100.00
20,3,1015UCL26,N1,10,10,100.00
20,4,1015UCL27,NF,35,35,100.00
20,5,1018GS2026,GS,4874,4874,100.00
20,6,1025VCCL28,N0,2,2,100.00
20,7,1035UCL26,NA,388,388,100.00
20,8,1040UCL27B,N1,1,1,100.00
20,9,1050ISFL28,N5,100,100,100.00
20,10,1050UCL25,N7,130,130,100.00
20,11,105UCL2026,NB,69,69,100.00
20,12,1060ECL29,NS,1206,678,56.22
20,13,1075NFL25,N6,31,31,100.00
20,14,10CAGL27,N5,15,15,100.00
20,15,10IIFL28,N4,303,276,91.09
20,16,10IIFL28A,NE,100,100,100.00
20,17,10IIFL29,N6,541,541,100.00
20,18,10NFL25,N9,10,10,100.00
20,19,10NIDO26,N6,772,772,100.00
20,20,10UCL26,ND,15,15,100.00
20,21,1119NFL27,ND,20,20,100.00
20,22,12VCCL29B,N0,1,1,100.00
20,23,182D010126,TB,400,400,100.00
20,24,182D040925,TB,100,100,100.00
20,25,20MICRONS,EQ,70930,28060,39.56
20,26,21STCENMGM,EQ,5461,3919,71.76
20,27,360ONE,EQ,873607,433137,49.58
20,28,364D020726,TB,100,100,100.00
20,29,364D031025,TB,2400,2400,100.00
20,30,364D040925,TB,11100,11100,100.00
20,31,364D041225,TB,600,600,100.00
20,32,364D110925,TB,100,100,100.00
20,33,364D200226,TB,100,100,100.00
20,34,364D250626,TB,300,300,100.00
20,35,3IINFOLTD,EQ,97101,65277,67.23
20,36,3MINDIA,EQ,4436,2893,65.22
20,37,3PLAND,EQ,23429,17045,72.75
20,38,563GS2026,GS,1002,1001,99.90
20,39,5PAISA,EQ,9452,5379,56.91
20,40,601GS2030,GS,10,10,100.00
20,41,610GS2031,GS,250,250,100.00
20,42,633GS2035,GS,9402,9401,99.99
20,43,63MOONS,EQ,87854,45344,51.61
20,44,664GS2027,GS,100,100,100.00
20,45,667GS2050,GS,3,3,100.00
20,46,668GS2040,GS,17900,17900,100.00
20,47,676GS2061,GS,6417,6417,100.00
20,48,679GS2034A,GS,400,400,100.00
20,49,690GS2065,GS,9682,8182,84.51
20,50,692GS2039,GS,6300,4800,76.19
20,51,699GS2026,GS,552,552,100.00
20,52,699GS2051,GS,2,1,50.00
20,53,702GS2027,GS,3902,3901,99.97
20,54,702GS2031,GS,400,400,100.00
20,55,704GS2029,GS,1900,1900,100.00
20,56,706GS2028,GS,552,551,99.82
20,57,709GS2054,GS,3017,3017,100.00
20,58,709GS2074,GS,25169,22349,88.80
20,59,710GS2029,GS,2,1,50.00
20,60,717GS2030,GS,2001,2001,100.00
20,61,718GS2033,GS,80,80,100.00
20,62,718GS2037,GS,11115,11115,100.00
20,63,719PN37,SG,100,100,100.00
20,64,723GS2039,GS,3000,3000,100.00
20,65,724GS2055,GS,3,3,100.00
20,66,725GS2063,GS,25757,25756,100.00
20,67,726GS2032,GS,2053,2053,100.00
20,68,726GS2033,GS,3260,3260,100.00
20,69,729IRFC26,NN,740,740,100.00
20,70,732GS2030,GS,15000,10000,66.67
20,71,733GS2026,GS,11668,10668,91.43
20,72,734GS2064,GS,8617,8416,97.67
20,73,736GS2052,GS,54,54,100.00
20,74,737GS2028,GS,6615,6365,96.22
20,75,738GS2027,GS,69102,68854,99.64
20,76,738REC27TF,N2,561,375,66.84
20,77,73GS2053,GS,2502,2502,100.00
20,78,741GS2036,GS,47211,29211,61.87
20,79,746GS2073,GS,208516,208514,100.00
20,80,74GJ27,SG,100,100,100.00
20,81,74GS2062,GS,42,27,64.29
20,82,751HUDCO28,N5,100,100,100.00
20,83,753IRFC30,NJ,100,100,100.00
20,84,753NTPC30E,NC,31,31,100.00
20,85,754GS2036,GS,412805,401101,97.16
20,86,760PFCL35,N3,265,265,100.00
20,87,764HUDCO31,N8,1,1,100.00
20,88,764IRFC31,NO,186,186,100.00
20,89,764NABAR31,N2,115,115,100.00
20,90,765AS32,SG,100,100,100.00
20,91,767AP38,SG,200,200,100.00
20,92,769HUDCO31,N9,261,261,100.00
20,93,769NHAI31,NE,1,1,100.00
20,94,76NHAI31,NA,1996,1896,94.99
20,95,78ABCL33,N1,20,10,50.00
20,96,79NHIT40,N2,104,104,100.00
20,97,805ABCL28,N5,50,50,100.00
20,98,810IRFC27,N2,102,102,100.00
20,99,81TCHF28,N8,52,52,100.00
20,100,824GS2027,GS,547,547,100.00
20,101,828GS2027,GS,2000,2000,100.00
20,102,82HUDCO27,N2,100,100,100.00
20,103,82IGT31,NJ,20,20,100.00
20,104,830NHAI27,N2,322,317,98.45
20,105,833GS2026,GS,85,85,100.00
20,106,83GS2040,GS,5,5,100.00
20,107,842IIFL26,NL,121,121,100.00
20,108,843IHFL29,NC,4,4,100.00
20,109,847SCL25,Z2,5,5,100.00
20,110,84CIFCL28,NA,16,16,100.00
20,111,865IFL28,NZ,71,71,100.00
20,112,865IIFL28,NS,874,874,100.00
20,113,865IRFC29,NA,10,10,100.00
20,114,865LTF26,NN,43,43,100.00
20,115,865SCL27,N4,10,10,100.00
20,116,865TCAPS27,N8,1140,1140,100.00
20,117,871REC28,N9,48,48,100.00
20,118,872MMFSL26,N1,5,5,100.00
20,119,875NHAI29,N6,361,361,100.00
20,120,875PCHFL26,N8,175,175,100.00
20,121,875SFL27,ZF,180,180,100.00
20,122,876HUDCO28,ND,300,300,100.00
20,123,87LTF27,NH,646,645,99.85
20,124,885TCAPS29,NC,1208,608,50.33
20,125,888ERFL28,N5,12,12,100.00
20,126,888IRFC29,NE,368,368,100.00
20,127,888REC29,NF,200,200,100.00
20,128,890SFIL23A,NZ,43,43,100.00
20,129,891IIFCL34,N4,408,408,100.00
20,130,892NHPC33,N6,2,2,100.00
20,131,892PFCL33,N8,110,110,100.00
20,132,894SCL25,Z3,5,5,100.00
20,133,894SCL27,ZY,40,40,100.00
20,134,895AEL27,N9,105,105,100.00
20,135,897GS2030,GS,698,698,100.00
20,136,897MOFSL29,N4,400,300,75.00
20,137,898LTF29,N7,49,49,100.00
20,138,901HUDCO34,NE,295,295,100.00
20,139,901NHB34,N6,2,2,100.00
20,140,903SFL28,YI,8,4,50.00
20,141,910TCAP28,NA,305,305,100.00
20,142,915AEL28,NC,250,250,100.00
20,143,915SCL26,NE,1132,1132,100.00
20,144,91D061125,TB,600,600,100.00
20,145,91D180925,TB,400,400,100.00
20,146,91SFL27,ZI,14,14,100.00
20,147,925AEL26,N1,119,112,94.12
20,148,925ERFL28,N6,100,100,100.00
20,149,925SCL2028,N8,100,100,100.00
20,150,92GS2030,GS,12304,10204,82.93
20,151,930AEL30,NF,751,514,68.44
20,152,930APMD28,N0,2,2,100.00
20,153,930APMD31,N0,1,1,100.00
20,154,930APMD32,N0,7,7,100.00
20,155,930APMD35,N0,1,1,100.00
20,156,931SFL26,Z5,3,3,100.00
20,157,932AEL27,N3,150,150,100.00
20,158,935LTF29,N5,50,50,100.00
20,159,93MOFSL34,N6,35,35,100.00
20,160,943ECL28,NJ,328,328,100.00
20,161,948SCL26A,NN,12,9,75.00
20,162,94SFL28,YL,190,150,78.95
20,163,956AEL29,N6,10,10,100.00
20,164,957ICCL25,YW,30,30,100.00
20,165,957NIDO26,N5,150,150,100.00
20,166,957SFIL28,NW,11,11,100.00
20,167,965AEL27,N4,5155,4224,81.94
20,168,965SCL25A,NF,10,10,100.00
20,169,965SCL25C,N0,100,100,100.00
20,170,965SCL25F,NZ,6,6,100.00
20,171,965SCL26A,ZB,80,70,87.50
20,172,965SCL28,AK,2,2,100.00
20,173,96IIFL28,N5,91,91,100.00
20,174,96IIFL28A,NF,389,357,91.77
20,175,96SFIL24A,NB,1,1,100.00
20,176,970CAGL28,ND,174,174,100.00
20,177,971SCL28,AN,6,6,100.00
20,178,971SCL30,N1,57,51,89.47
20,179,975SCL35,N0,4,4,100.00
20,180,97SFL26,Z9,34,34,100.00
20,181,97SFL29,YZ,175,175,100.00
20,182,985ECL28,NK,1531,1431,93.47
20,183,985SFIL28,NO,51,51,100.00
20,184,990SCL26,N7,35,35,100.00
20,185,990SCL27,YT,10,10,100.00
20,186,990SCL28,N1,304,201,66.12
20,187,995SCL2035,NM,21,21,100.00
20,188,99AEL29,N7,855,855,100.00
20,189,9AEL30,NE,35,35,100.00
20,190,9IHFL27,N1,41,41,100.00
20,191,9IIFL26,NV,10,10,100.00
20,192,9IIFL28,Y0,55,55,100.00
20,193,9IIFL28A,NT,20,20,100.00
20,194,9MMFSML,N2,514,494,96.11
20,195,9PCHFL31A,NA,61,61,100.00
20,196,9SCL26BA,NA,312,312,100.00
20,197,9SCL27,N2,70,70,100.00
20,198,AAATECH,EQ,9719,5187,53.37
20,199,AADHARHFC,EQ,251622,142693,56.71
20,200,AAKAAR,SM,16000,12800,80.00
20,201,AARADHYA,SM,34800,34800,100.00
20,202,AARON,EQ,85611,33796,39.48
20,203,AARTECH,EQ,21144,13153,62.21
20,204,AARTIDRUGS,EQ,102275,44035,43.06
20,205,AARTIIND,EQ,610538,279959,45.85
20,206,AARTIPHARM,EQ,302708,119682,39.54
20,207,AARVI,EQ,21789,11118,51.03
20,208,AAVAS,EQ,279417,197413,70.65
20,209,ABAN,EQ,69157,41680,60.27
20,210,ABB,EQ,335387,218123,65.04
20,211,ABBOTINDIA,EQ,8264,4850,58.69
20,212,ABCAPITAL,EQ,3644279,1588063,43.58
20,213,ABCOTS,SM,500,250,50.00
20,214,ABDL,EQ,188951,89407,47.32
20,215,ABFRL,EQ,18058814,8441535,46.74
20,216,ABGSEC,EQ,230,121,52.61
20,217,ABHAPOWER,ST,9600,9600,100.00
20,218,ABLBL,EQ,896748,530014,59.10
20,219,ABREL,EQ,61407,21156,34.45
20,220,ABSLAMC,EQ,445927,339078,76.04
20,221,ABSLBANETF,EQ,117377,87622,74.65
20,222,ABSLLIQUID,EQ,4510,4332,96.05
20,223,ABSLNN50ET,EQ,16115,15953,98.99
20,224,ABSLPSE,EQ,288328,198377,68.80
20,225,ABSMARINE,SM,26500,17500,66.04
20,226,ACC,EQ,203199,103877,51.12
20,227,ACCELYA,EQ,5942,3148,52.98
20,228,ACCENTMIC,ST,6500,5000,76.92
20,229,ACCPL,SM,14400,14400,100.00
20,230,ACCURACY,EQ,83992,46484,55.34
20,231,ACE,EQ,2064029,252140,12.22
20,232,ACEINTEG,EQ,1636,944,57.70
20,233,ACI,EQ,182748,77051,42.16
20,234,ACL,EQ,385429,198479,51.50
20,235,ACLGATI,EQ,91112,60720,66.64
20,236,ACMESOLAR,EQ,1739894,491831,28.27
20,237,ACTIVEINFR,SM,600,600,100.00
20,238,ACUTAAS,EQ,285441,193783,67.89
20,239,ADANIENSOL,EQ,891046,380519,42.70
20,240,ADANIENT,EQ,907868,150730,16.60
20,241,ADANIGREEN,EQ,1308868,380613,29.08
20,242,ADANIPORTS,EQ,1785681,813088,45.53
20,243,ADANIPOWER,EQ,2803843,822983,29.35
20,244,ADFFOODS,EQ,188337,88236,46.85
20,245,ADL,EQ,791,576,72.82
20,246,ADOR,EQ,6396,3257,50.92
20,247,ADROITINFO,EQ,40490,31594,78.03
20,248,ADSL,EQ,175203,105280,60.09
20,249,ADVANIHOTR,EQ,45422,23465,51.66
20,250,ADVENZYMES,EQ,6691820,749081,11.19
20,251,AEGISLOG,EQ,183822,68244,37.13
20,252,AEGISVOPAK,EQ,226034,90820,40.18
20,253,AEROENTER,EQ,78998,51029,64.60
20,254,AEROFLEX,EQ,1008094,377053,37.40
20,255,AERON,SM,4000,4000,100.00
20,256,AESTHETIK,ST,16000,12000,75.00
20,257,AETHER,EQ,42751,27958,65.40
20,258,AFCONS,EQ,2799889,2375943,84.86
20,259,AFFLE,EQ,152171,81436,53.52
20,260,AFFORDABLE,EQ,374605,146497,39.11
20,261,AFIL,EQ,394922,287878,72.89
20,262,AFSL,EQ,36593,17439,47.66
20,263,AGARIND,EQ,19753,8837,44.74
20,264,AGARWALEYE,EQ,1590689,1203020,75.63
20,265,AGARWALFT,SM,42000,30000,71.43
20,266,AGARWALTUF,SM,49200,28800,58.54
20,267,AGI,EQ,90536,57271,63.26
20,268,AGIIL,EQ,36116,16182,44.81
20,269,AGNI,SM,70000,45000,64.29
20,270,AGRITECH,EQ,6158,4582,74.41
20,271,AGUL,SM,6000,6000,100.00
20,272,AHLADA,EQ,32514,19343,59.49
20,273,AHLEAST,EQ,957,646,67.50
20,274,AHLUCONT,EQ,51000,26517,51.99
20,275,AIAENG,EQ,85088,64742,76.09
20,276,AIIL,EQ,204512,88017,43.04
20,277,AILIMITED,SM,43500,40500,93.10
20,278,AIMTRON,SM,41200,24800,60.19
20,279,AIRAN,EQ,96273,66348,68.92
20,280,AIROLAM,EQ,3839,2204,57.41
20,281,AIRTELPP,E1,185079,145466,78.60
20,282,AJANTPHARM,EQ,139895,79539,56.86
20,283,AJAXENGG,EQ,47717,27177,56.95
20,284,AJMERA,EQ,35480,17507,49.34
20,285,AJOONI,EQ,903423,542204,60.02
20,286,AKANKSHA,ST,12000,8000,66.67
20,287,AKASH,EQ,4190,2977,71.05
20,288,AKG,EQ,38219,26084,68.25
20,289,AKIKO,ST,33600,33600,100.00
20,290,AKSHAR,EQ,1978578,1046259,52.88
20,291,AKSHARCHEM,EQ,100217,57573,57.45
20,292,AKSHOPTFBR,EQ,276433,163800,59.25
20,293,AKUMS,EQ,453844,329945,72.70
20,294,AKZOINDIA,EQ,24788,16748,67.56
20,295,ALANKIT,EQ,169448,108368,63.95
20,296,ALBERTDAVD,EQ,1295,836,64.56
20,297,ALEMBICLTD,EQ,398138,215879,54.22
20,298,ALICON,EQ,4558,2752,60.38
20,299,ALIVUS,EQ,36246,15667,43.22
20,300,ALKALI,EQ,6468,4810,74.37
20,301,ALKEM,EQ,114906,78906,68.67
20,302,ALKYLAMINE,EQ,31852,17472,54.85
20,303,ALLCARGO,EQ,1881135,880494,46.81
20,304,ALLDIGI,EQ,5919,1638,27.67
